"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","184","28.5","128","1,809","14.1","28","8","4","24","1","0","17","240.6","14.2","99.3%"
"2","Davante Adams (LAR)","180","34.7","100","1,516","15.2","24","14","3","-1","0","0","17","235.5","13.9","95.8%"
"3","Tyreek Hill (MIA)","170","30.2","119","1,710","14.4","25","7","7","32","1","0","17","222.2","13.1","46.5%"
"4","A.J. Brown (PHI)","145","29","88","1,496","17.0","23","11","0","0","0","2","17","211.6","12.4","99.0%"
"5","Stefon Diggs (NE)","156","30.4","110","1,455","13.2","17","11","1","-3","0","0","17","211.2","12.4","93.8%"
"6","CeeDee Lamb (DAL)","156","28.7","107","1,359","12.7","24","9","10","47","0","0","17","194.6","11.4","99.8%"
"7","Jaylen Waddle (MIA)","117","20.9","75","1,356","18.1","21","8","3","26","0","1","17","184.2","10.8","95.3%"
"8","Amari Cooper (FA)","132","0","78","1,160","14.9","18","9","0","0","0","0","17","169.0","9.9","1.9%"
"9","Amon-Ra St. Brown (DET)","146","26.3","106","1,161","11.0","11","6","9","95","0","0","16","161.6","10.1","99.7%"
"10","DeVonta Smith (PHI)","136","27.2","95","1,196","12.6","18","7","0","0","0","1","17","159.6","9.4","95.3%"
"11","Christian Kirk (HOU)","133","23.9","84","1,108","13.2","18","8","5","11","0","1","17","157.9","9.3","23.8%"
"12","Ja'Marr Chase (CIN)","134","22.4","87","1,046","12.0","13","9","5","8","0","2","13","155.4","12.0","99.8%"
"13","Tyler Lockett (LV)","117","21","84","1,033","12.3","14","9","0","0","0","2","16","153.3","9.6","3.6%"
"14","Terry McLaurin (WAS)","120","22.5","77","1,191","15.5","16","5","7","29","0","0","17","152.0","8.9","93.4%"
"15","Brandon Aiyuk (SF)","114","22.8","78","1,015","13.0","17","8","2","23","0","1","17","149.8","8.8","33.9%"
"16","Mike Evans (TB)","127","17.6","77","1,124","14.6","19","6","0","0","0","0","15","148.4","9.9","93.8%"
"17","Tee Higgins (CIN)","110","18.4","75","1,042","13.9","14","7","0","0","0","0","15","148.2","9.9","98.1%"
"18","Jerry Jeudy (CLE)","100","20","67","972","14.5","14","6","4","40","0","0","15","137.2","9.1","71.3%"
"19","DK Metcalf (PIT)","141","25.7","90","1,048","11.6","11","6","0","0","0","2","17","136.8","8.0","87.1%"
"20","DJ Moore (CHI)","118","33","63","888","14.1","17","7","10","53","0","0","17","136.1","8.0","87.1%"
"21","Garrett Wilson (NYJ)","147","25.2","83","1,103","13.3","13","4","4","4","0","1","17","132.7","7.8","79.1%"
"22","Cooper Kupp (SEA)","98","17.6","75","812","10.8","11","6","9","52","1","1","9","126.4","14.0","59.7%"
"23","Chris Olave (NO)","119","23.8","72","1,042","14.5","13","4","0","0","0","2","15","126.2","8.4","93.8%"
"24","Gabe Davis (BUF)","93","16.9","48","836","17.4","11","7","0","0","0","1","15","123.6","8.2","1.1%"
"25","Christian Watson (GB)","65","12.1","41","611","14.9","8","7","7","80","2","0","14","123.1","8.8","49.9%"
"26","Chris Godwin Jr. (TB)","142","19.6","104","1,023","9.8","10","3","3","5","0","2","15","118.8","7.9","73.7%"
"27","Michael Pittman Jr. (IND)","141","24.5","99","925","9.3","8","4","3","30","0","1","16","117.5","7.3","85.1%"
"28","Tyler Boyd (FA)","83","0","59","776","13.2","10","6","0","0","0","0","17","116.5","6.9","1.2%"
"29","Zay Jones (ARI)","121","19.1","82","823","10.0","7","5","4","18","0","0","16","116.1","7.3","0.6%"
"30","Allen Lazard (FA)","100","0","60","788","13.1","13","6","2","0","0","0","15","114.8","7.7","0.8%"
"31","George Pickens (DAL)","84","15.6","52","801","15.4","17","4","3","24","1","0","17","114.5","6.7","97.8%"
"32","Mike Williams (FA)","93","0","63","895","14.2","11","4","0","0","0","0","13","113.5","8.7","1.2%"
"33","Jakobi Meyers (JAC)","96","16.6","67","804","12.0","14","6","2","-11","0","2","14","113.3","8.1","86.0%"
"34","Deebo Samuel Sr. (WAS)","94","17.6","56","632","11.3","7","2","42","232","3","2","13","112.4","8.6","91.2%"
"35","Curtis Samuel (BUF)","92","16.6","64","656","10.3","10","4","38","187","1","1","17","112.3","6.6","1.1%"
"36","Adam Thielen (FA)","107","0","70","716","10.2","7","6","1","4","0","0","17","110.0","6.5","6.1%"
"37","JuJu Smith-Schuster (KC)","101","16.6","78","933","12.0","9","3","0","0","0","2","16","107.3","6.7","1.8%"
"38","Drake London (ATL)","117","29.7","72","866","12.0","10","4","0","0","0","3","17","106.6","6.3","99.0%"
"39","Donovan Peoples-Jones (FA)","96","0","61","839","13.8","14","3","1","2","0","1","17","106.1","6.2","0.0%"
"40","Keenan Allen (LAC)","89","12.9","66","752","11.4","7","4","1","8","0","1","10","98.0","9.8","73.5%"
"41","Joshua Palmer (BUF)","107","19.3","72","769","10.7","7","3","1","4","0","0","16","97.3","6.1","5.3%"
"42","Mack Hollins (NE)","94","18.7","57","690","12.1","9","4","4","40","0","0","17","97.2","5.7","3.8%"
"43","Jahan Dotson (PHI)","61","12.2","35","523","14.9","10","7","2","-7","0","0","12","95.6","8.0","1.1%"
"44","K.J. Osborn (FA)","90","0","60","650","10.8","6","5","3","6","0","0","17","95.6","5.6","2.6%"
