"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","181","30","135","1,749","13.0","29","12","14","113","2","2","17","268.2","15.8","99.8%"
"2","Tyreek Hill (MIA)","171","31.1","119","1,799","15.1","29","13","6","15","0","1","16","257.4","16.1","46.5%"
"3","Amon-Ra St. Brown (DET)","164","28.8","119","1,515","12.7","24","10","4","24","0","1","16","211.9","13.2","99.7%"
"4","Mike Evans (TB)","136","24.7","79","1,255","15.9","20","13","0","0","0","0","17","203.5","12.0","93.8%"
"5","Puka Nacua (LAR)","160","29","105","1,486","14.2","25","6","12","89","0","0","17","193.5","11.4","99.8%"
"6","DJ Moore (CHI)","136","28.7","96","1,364","14.2","25","8","4","21","1","1","17","190.5","11.2","87.1%"
"7","Deebo Samuel Sr. (WAS)","89","15","60","892","14.9","15","7","37","225","5","0","15","183.7","12.2","91.2%"
"8","A.J. Brown (PHI)","158","30.2","106","1,456","13.7","21","7","0","0","0","2","17","183.6","10.8","99.0%"
"9","Nico Collins (HOU)","109","19.3","80","1,297","16.2","25","8","1","7","0","0","15","180.4","12.0","99.2%"
"10","Brandon Aiyuk (SF)","105","22.3","75","1,342","17.9","28","7","0","0","0","1","16","174.2","10.9","33.9%"
"11","Keenan Allen (LAC)","150","24.6","108","1,243","11.5","19","7","2","6","0","1","13","170.9","13.1","73.5%"
"12","Stefon Diggs (NE)","160","29.5","107","1,183","11.1","10","8","1","5","0","1","17","166.8","9.8","93.8%"
"13","Ja'Marr Chase (CIN)","145","24.5","100","1,216","12.2","14","7","3","-6","0","0","16","162.7","10.2","99.8%"
"14","Davante Adams (LAR)","175","31.5","103","1,144","11.1","13","8","0","0","0","0","17","162.4","9.6","95.8%"
"15","DK Metcalf (PIT)","119","24.6","66","1,114","16.9","19","8","0","0","0","0","16","159.4","10.0","87.1%"
"16","Amari Cooper (FA)","128","0","72","1,250","17.4","21","5","0","0","0","1","15","155.0","10.3","1.9%"
