"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (SEA)","191","40","145","1,947","13.4","30","16","4","18","0","0","17","294.5","17.3","59.7%"
"2","Deebo Samuel Sr. (WAS)","121","22.6","77","1,405","18.2","24","6","59","365","8","2","16","262.0","16.4","91.2%"
"3","Ja'Marr Chase (CIN)","128","23.8","81","1,455","18.0","22","13","7","21","0","1","17","223.6","13.2","99.8%"
"4","Justin Jefferson (MIN)","167","28.9","108","1,616","15.0","27","10","6","14","0","1","17","222.4","13.1","99.3%"
"5","Davante Adams (LAR)","169","28.2","123","1,553","12.6","19","11","0","0","0","0","16","221.3","13.8","95.8%"
"6","Mike Evans (TB)","114","15.9","74","1,035","14.0","20","14","1","10","0","0","16","188.5","11.8","93.8%"
"7","Tyreek Hill (MIA)","159","26.6","111","1,239","11.2","13","9","9","96","0","1","17","185.5","10.9","46.5%"
"8","Stefon Diggs (NE)","164","31.2","103","1,225","11.9","12","10","0","0","0","0","17","182.5","10.7","93.8%"
"9","Mike Williams (FA)","129","0","76","1,146","15.1","17","9","0","0","0","0","16","170.6","10.7","1.2%"
"10","DK Metcalf (PIT)","129","19.8","75","967","12.9","11","12","1","6","0","0","17","169.3","10.0","87.1%"
"11","Tyler Lockett (LV)","107","17.7","73","1,175","16.1","22","8","2","9","0","0","16","168.4","10.5","3.6%"
"12","Diontae Johnson (FA)","169","0","107","1,161","10.9","14","8","5","53","0","2","16","167.4","10.5","3.1%"
"13","Hunter Renfrow (FA)","128","0","103","1,038","10.1","10","9","3","3","0","1","17","156.1","9.2","0.9%"
"14","CeeDee Lamb (DAL)","120","18.8","79","1,102","13.9","20","6","9","76","0","0","16","153.8","9.6","99.8%"
"15","Keenan Allen (LAC)","157","24","106","1,138","10.7","12","6","0","0","0","0","16","151.8","9.5","73.5%"
"16","Michael Pittman Jr. (IND)","129","25.8","88","1,082","12.3","12","6","5","44","0","0","17","150.6","8.9","85.1%"
"17","Tee Higgins (CIN)","110","20.5","74","1,091","14.7","17","6","0","0","0","1","14","145.1","10.4","98.1%"
"18","DJ Moore (CHI)","163","30.9","93","1,157","12.4","16","4","8","48","0","1","17","144.5","8.5","87.1%"
"19","Chris Godwin Jr. (TB)","127","17.7","98","1,103","11.3","15","5","4","21","1","2","14","144.4","10.3","73.7%"
"20","Brandin Cooks (BUF)","134","21.7","90","1,037","11.5","12","6","2","21","0","0","16","141.8","8.9","1.9%"
"21","Jaylen Waddle (MIA)","140","23.4","104","1,015","9.8","8","6","2","3","1","1","16","141.8","8.9","95.3%"
"22","Darnell Mooney (ATL)","140","25.2","81","1,055","13.0","14","4","6","32","1","0","17","138.7","8.2","53.6%"
"23","Amon-Ra St. Brown (DET)","119","21.5","90","912","10.1","11","5","7","61","1","0","16","137.3","8.6","99.7%"
"24","Terry McLaurin (WAS)","130","24.1","77","1,053","13.7","15","5","1","12","0","0","17","136.5","8.0","93.4%"
"25","Marquise Brown (KC)","146","23.1","91","1,008","11.1","15","6","1","5","0","1","16","135.3","8.5","23.1%"
"26","Amari Cooper (FA)","104","0","68","865","12.7","15","8","0","0","0","0","15","134.5","9.0","1.9%"
"27","Adam Thielen (FA)","95","0","67","726","10.8","14","10","1","2","0","0","13","132.8","10.2","6.1%"
"28","Christian Kirk (HOU)","103","19.7","77","982","12.8","16","5","1","11","0","0","17","130.6","7.7","23.8%"
"29","Kendrick Bourne (SF)","70","14.5","55","800","14.5","10","5","12","125","0","1","17","125.5","7.4","4.0%"
"30","DeVonta Smith (PHI)","104","22.4","64","916","14.3","16","5","0","0","0","1","17","121.6","7.2","95.3%"
"31","Van Jefferson (TEN)","89","16.9","50","802","16.0","12","6","2","20","0","0","17","118.2","7.0","0.9%"
"32","A.J. Brown (PHI)","105","22.5","63","869","13.8","10","5","2","10","0","0","13","117.9","9.1","99.0%"
"33","Tyler Boyd (FA)","94","0","67","828","12.4","10","5","2","22","0","0","16","116.8","7.3","1.2%"
"34","Brandon Aiyuk (SF)","84","17.8","56","826","14.8","16","5","5","17","0","1","17","114.3","6.7","33.9%"
"35","K.J. Osborn (FA)","82","0","50","655","13.1","10","7","1","10","0","0","17","108.5","6.4","2.6%"
"36","Chase Claypool (FA)","105","0","59","860","14.6","13","2","14","96","0","0","15","107.6","7.2","1.1%"
"37","Marvin Jones Jr. (FA)","120","0","73","832","11.4","13","4","0","0","0","0","17","107.2","6.3","0.0%"
"38","Marquez Callaway (FA)","84","0","46","698","15.2","9","6","0","0","0","0","17","105.8","6.2","0.0%"
"39","DeAndre Hopkins (BAL)","64","10.8","42","572","13.6","7","8","0","0","0","0","10","105.2","10.5","4.3%"
"40","Tim Patrick (JAC)","85","14.7","53","734","13.8","10","5","0","0","0","0","16","103.4","6.5","1.1%"
"41","Jakobi Meyers (JAC)","126","21.7","83","866","10.4","12","2","1","9","0","1","16","103.3","6.5","86.0%"
"42","A.J. Green (FA)","92","0","54","848","15.7","16","3","0","0","0","0","16","102.8","6.4","0.7%"
"43","Cedrick Wilson Jr. (MIA)","61","10.2","45","602","13.4","8","6","2","11","0","0","14","102.8","7.3","1.1%"
"44","Allen Lazard (FA)","60","0","40","513","12.8","8","8","3","32","0","0","14","102.5","7.3","0.8%"
"45","Russell Gage Jr. (FA)","94","0","66","770","11.7","8","4","0","0","0","2","13","97.0","7.5","0.0%"
"46","Elijah Moore (DEN)","77","15.2","43","538","12.5","9","5","5","54","1","0","11","95.2","8.7","0.6%"
"47","Courtland Sutton (DEN)","98","19.3","58","776","13.4","9","2","0","0","0","0","17","92.2","5.4","94.9%"
"48","Robert Woods (FA)","69","0","45","556","12.4","8","4","8","46","1","0","9","92.2","10.2","1.2%"
"49","Gabe Davis (BUF)","63","10.2","35","549","15.7","13","6","0","0","0","0","15","90.9","6.1","1.1%"
"50","Emmanuel Sanders (FA)","72","0","42","626","14.9","10","4","2","31","0","0","14","89.7","6.4","0.0%"
"51","Robbie Chosen (FA)","110","0","53","519","9.8","3","5","3","36","0","0","17","85.5","5.0","0.0%"
"52","Odell Beckham Jr. (FA)","82","0","44","537","12.2","7","5","2","14","0","0","14","85.1","6.1","1.2%"
"53","Byron Pringle (FA)","60","0","42","568","13.5","11","5","0","0","0","1","16","84.8","5.3","0.0%"
