"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"116","Steven Sims Jr. (FA)","37","0","27","265","9.8","3","1","1","18","0","2","12","30.3","2.5","0.0%"
"117","Chad Beebe (FA)","30","0","20","201","10.1","1","2","0","0","0","1","14","30.1","2.2","0.0%"
"118","Chad Hansen (FA)","24","0","17","236","13.9","3","1","0","0","0","0","5","29.6","5.9","0.0%"
"119","Tyler Johnson (NYJ)","17","3.5","12","169","14.1","3","2","0","0","0","0","14","28.9","2.1","0.6%"
"120","Dontrelle Inman (FA)","28","0","18","163","9.1","0","2","0","0","0","0","10","28.3","2.8","0.0%"
"121","Byron Pringle (FA)","17","0","13","160","12.3","3","1","0","0","0","0","12","28.0","2.3","0.0%"
"122","Freddie Swain (FA)","21","0","13","159","12.2","3","2","0","0","0","0","16","27.9","1.7","0.0%"
"123","Van Jefferson (TEN)","31","6.5","19","220","11.6","2","1","1","-1","0","0","16","27.9","1.7","0.9%"
"124","Deonte Harty (FA)","25","0","20","186","9.3","1","1","6","51","0","1","9","27.7","3.1","0.0%"
"125","Isaiah Ford (FA)","44","0","28","276","9.9","0","0","0","0","0","0","10","27.6","2.8","0.0%"
"126","Mohamed Sanu Sr. (FA)","24","0","17","187","11.0","3","1","1","3","0","0","10","27.0","2.7","0.0%"
"127","Lynn Bowden Jr. (FA)","37","0","28","211","7.5","1","0","9","32","0","0","10","25.6","2.6","0.0%"
"128","Marcus Johnson (FA)","28","0","14","255","18.2","6","0","0","0","0","0","11","25.5","2.3","0.0%"
"129","Bryan Edwards (FA)","15","0","11","193","17.5","5","1","0","0","0","0","12","25.3","2.1","0.0%"
"130","Zay Jones (ARI)","20","4.1","14","154","11.0","1","1","0","0","0","0","16","22.6","1.4","0.6%"
"131","Mack Hollins (NE)","25","5.9","16","176","11.0","2","1","0","0","0","1","16","21.6","1.4","3.8%"
"132","Marquez Callaway (FA)","27","0","21","213","10.1","1","0","0","0","0","0","11","21.3","1.9","0.0%"
"133","Bisi Johnson (FA)","19","0","14","189","13.5","3","0","0","0","0","0","16","20.9","1.3","0.0%"
"134","Gunner Olszewski (NYG)","5","1","5","62","12.4","1","1","5","23","0","0","13","20.5","1.6","0.2%"
"135","Kenny Stills (FA)","19","0","11","144","13.1","2","1","0","0","0","0","10","20.4","2.0","0.0%"
"136","Isaiah Wright (FA)","35","0","27","197","7.3","1","0","3","16","0","1","14","19.3","1.4","0.0%"
"137","John Hightower (FA)","29","0","10","167","16.7","2","0","1","1","0","0","13","18.8","1.4","1.0%"
"138","Equanimeous St. Brown (FA)","13","0","7","117","16.7","3","1","1","7","0","0","12","18.4","1.5","0.0%"
"139","Kalif Raymond (DET)","15","2.9","9","187","20.8","4","0","1","-3","0","0","15","18.4","1.2","0.6%"
"140","KhaDarel Hodge (ATL)","17","3.1","11","180","16.4","2","0","0","0","0","0","9","18.0","2.0","0.7%"
"141","Cameron Batson (FA)","13","0","12","100","8.3","0","1","4","20","0","0","12","18.0","1.5","0.0%"
"142","Brandon Powell (FA)","18","0","12","69","5.8","0","2","2","7","0","1","15","17.6","1.2","1.4%"
"143","Alshon Jeffery (FA)","13","0","6","115","19.2","3","1","0","0","0","0","7","17.5","2.5","0.0%"
"144","KeeSean Johnson (FA)","23","0","15","173","11.5","2","0","0","0","0","0","8","17.3","2.2","0.0%"
"145","Mike Thomas (FA)","21","0","13","132","10.2","2","1","1","1","0","1","14","17.3","1.2","0.0%"
"146","Laquon Treadwell (IND)","7","1.4","6","49","8.2","0","2","0","0","0","0","5","16.9","3.4","0.0%"
"147","Dez Bryant (FA)","11","0","6","47","7.8","0","2","0","0","0","0","6","16.7","2.8","2.6%"
"148","Jeff Smith (FA)","37","0","17","167","9.8","1","0","0","0","0","0","12","16.7","1.4","0.0%"
"149","Quez Watkins (PHI)","13","2.3","7","106","15.1","2","1","0","0","0","0","6","16.6","2.8","0.0%"
"150","Jamal Agnew (FA)","20","0","13","89","6.8","1","0","6","33","0","1","14","16.2","1.2","0.1%"
"151","Noah Brown (WAS)","24","4","14","154","11.0","1","0","1","4","0","0","16","15.8","1.0","0.8%"
"152","Malcolm Perry (FA)","13","0","9","92","10.2","1","1","3","5","0","0","9","15.7","1.7","0.0%"
"153","Auden Tate (FA)","22","0","14","150","10.7","0","0","0","0","0","0","9","15.0","1.7","0.0%"
"154","Christian Blake (FA)","18","0","13","141","10.8","3","0","0","0","0","0","16","14.1","0.9","0.0%"
"155","Malik Taylor (FA)","6","0","5","66","13.2","2","1","1","9","0","0","15","13.5","0.9","0.0%"
"156","DeMichael Harris (FA)","10","0","10","79","7.9","1","0","6","46","0","0","7","12.5","1.8","0.0%"
"157","Ray-Ray McCloud III (FA)","22","0","20","77","3.9","0","0","4","65","0","1","16","12.2","0.8","0.9%"
"158","Chris Hogan (FA)","26","0","14","118","8.4","1","0","0","0","0","0","5","11.8","2.4","0.0%"
"159","Dante Pettis (NO)","6","1.2","4","76","19.0","2","1","0","0","0","1","7","11.6","1.7","0.6%"
"160","Javon Wims (FA)","12","0","6","48","8.0","0","1","1","2","0","0","13","11.0","0.8","0.0%"
"161","Lil'Jordan Humphrey (DEN)","5","1","3","46","15.3","0","1","0","0","0","0","3","10.6","3.5","0.7%"
"162","Alex Erickson (FA)","17","0","12","139","11.6","2","0","5","7","0","2","16","10.6","0.7","0.0%"
"163","J.J. Arcega-Whiteside (FA)","8","0","4","85","21.3","2","0","0","0","0","0","8","10.5","1.3","0.0%"
"164","Diontae Spencer (FA)","6","0","3","26","8.7","0","0","3","19","0","0","11","10.5","1.0","0.0%"
"165","C.J. Board (FA)","16","0","11","101","9.2","0","0","1","3","0","0","14","10.4","0.7","0.0%"
"166","Justin Watson (HOU)","11","2.1","7","94","13.4","1","0","0","0","0","0","11","9.4","0.9","1.8%"
"167","Austin Mack (FA)","11","0","7","91","13.0","1","0","0","0","0","0","11","9.1","0.8","0.0%"
"168","Joe Reed (FA)","1","0","0","0","0","0","0","5","29","1","0","11","8.9","0.8","0.0%"
"169","Austin Carr (FA)","4","0","3","27","9.0","0","1","0","0","0","0","6","8.7","1.5","0.0%"
"170","Parris Campbell (DAL)","9","1.5","6","71","11.8","1","0","2","16","0","0","2","8.7","4.4","0.0%"
"171","Trent Taylor (SF)","21","3.8","10","86","8.6","2","0","0","0","0","0","12","8.6","0.7","0.0%"
"172","Jake Kumerow (FA)","1","0","1","22","22.0","1","1","0","0","0","0","6","8.2","1.4","0.0%"
"173","Pharoh Cooper (FA)","8","0","5","73","14.6","1","0","0","0","0","0","16","7.3","0.5","0.0%"
"174","Courtland Sutton (DEN)","6","1.1","3","66","22.0","2","0","0","0","0","0","1","6.6","6.6","94.9%"
"175","Ashton Dulin (IND)","6","1.2","3","53","17.7","1","0","2","11","0","0","13","6.4","0.5","0.0%"
"176","Damion Ratley (FA)","10","0","4","63","15.8","1","0","0","0","0","0","5","6.3","1.3","0.0%"
