"Player","Team","REC","YDS","TDS","FL","FPTS"
"Cam Grandy","CIN","6.2","54.1","0.4","0.0","8.1"
"Luke Farrell","SF","6.1","58.5","0.4","0.0","8.1"
"Jackson Hawes","BUF","5.3","57.2","0.4","0.0","8.0"
"Jaheim Bell","PHI","5.0","50.0","0.5","0.0","8.0"
"Jelani Woods","NYJ","3.5","46.5","0.5","0.0","7.7"
"Jared Wiley","KC","5.4","53.1","0.4","0.0","7.6"
"Chris Manhertz","NYG","4.9","44.3","0.4","0.0","6.7"
"Durham Smythe","CHI","5.4","45.6","0.4","0.0","6.6"
"Will Mallory","IND","3.9","38.7","0.3","0.0","5.8"
"Kylen Granson","PHI","4.0","45.1","0.1","0.0","5.2"
"David Martin-Robinson","TEN","3.7","37.2","0.3","0.0","5.2"
"Davis Allen","LAR","4.0","37.9","0.2","0.0","5.0"
"Ko Kieft","TB","1.5","16.0","0.5","0.0","4.6"
"Mo Alie-Cox","IND","2.8","30.9","0.2","0.0","4.2"
"Tucker Fisk","LAC","3.3","31.6","0.2","0.0","4.1"
"Tanner Hudson","CIN","2.9","26.5","0.2","0.0","3.6"
"Erick All Jr.","CIN","2.3","20.5","0.2","0.0","3.1"
"Jack Westover","NE","1.8","18.3","0.1","0.0","2.6"
"Feleipe Franks","ATL","1.8","17.7","0.1","0.0","2.5"
"Pharaoh Brown","ARI","2.5","25.0","0.0","0.0","2.5"
"James Mitchell","CAR","1.9","17.8","0.1","0.0","2.3"
"Josh Whyle","GB","1.5","15.5","0.0","0.0","1.6"
"Jack Stoll","NO","1.5","15.0","0.0","0.0","1.5"
"Nick Vannett","LAR","1.0","10.0","0.0","0.0","1.0"
"Robert Tonyan","KC","1.0","10.0","0.0","0.0","1.0"
"Quintin Morris","JAC","1.0","10.0","0.0","0.0","1.0"
"Greg Dulcich","MIA","1.0","9.5","0.0","0.0","1.0"
"Harrison Bryant","HOU","0.5","5.5","0.0","0.0","0.6"
"Marcedes Lewis","DEN","0.0","0.0","0.0","0.0","0.0"
"Anthony Firkser","DET","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","WAS","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Donald Parham Jr.","PIT","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","ARI","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","WAS","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Brevin Jordan","HOU","0.0","0.0","0.0","0.0","0.0"
"Luke Lachey","HOU","0.0","0.0","0.0","0.0","0.0"
