"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"101","Jaeden Graham (FA)","5","0","3","25","8.3","0","0","0","0","0","0","16","2.5","0.2","0.0%"
"102","Eric Saubert (SEA)","4","0.8","3","16","5.3","0","0","0","0","0","0","8","1.6","0.2","1.8%"
"103","Dalton Keene (FA)","5","0","3","16","5.3","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"104","Colby Parkinson (LAR)","2","0.4","2","16","8.0","0","0","0","0","0","0","6","1.6","0.3","19.2%"
"105","Derek Carrier (FA)","1","0","1","14","14.0","0","0","0","0","0","0","16","1.4","0.1","0.0%"
"106","Luke Willson (FA)","3","0","1","12","12.0","0","0","0","0","0","0","8","1.2","0.2","0.0%"
"107","Josiah Deguara (ARI)","2","0.4","1","12","12.0","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"108","Blake Jarwin (FA)","1","0","1","12","12.0","0","0","0","0","0","0","1","1.2","1.2","4.0%"
"109","Temarrick Hemingway (FA)","2","0","1","10","10.0","0","0","0","0","0","0","8","1.0","0.1","0.0%"
"110","Jeremy Sprinkle (FA)","3","0","1","6","6.0","0","0","0","0","0","0","16","0.6","0.0","0.0%"
"111","Brandon Dillon (FA)","1","0","1","6","6.0","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"112","Trevon Wesco (FA)","2","0","1","5","5.0","0","0","1","0","0","0","12","0.5","0.0","0.0%"
"113","Jake Butt (FA)","4","0","2","5","2.5","0","0","0","0","0","0","5","0.5","0.1","0.1%"
"114","Isaac Nauta (FA)","2","0","1","3","3.0","0","0","0","0","0","0","7","0.3","0.0","0.0%"
"115","Marcus Baugh (FA)","1","0","1","2","2.0","0","0","0","0","0","0","8","0.2","0.0","0.0%"
"116","Bruce Miller (FA)","2","0","1","2","2.0","0","0","0","0","0","0","8","0.2","0.0","1.0%"
"117","Rashod Berry (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"118","Tommy Stevens (FA)","0","0","0","0","0","0","0","4","24","0","0","1","0.0","0.0","0.0%"
"119","Tyler Davis (FA)","2","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"120","Jake Bargas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Farrod Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"123","Jordan Matthews (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"124","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"125","Lawrence Cager (WAS)","6","1","2","35","17.5","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"126","Kevin Rader (FA)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Sean Culkin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Evan Baylis (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"129","Ricky Seals-Jones (FA)","1","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"130","Taysom Hill (NO)","13","2.6","8","98","12.3","2","1","87","457","8","5","16","0.0","0.0","19.8%"
"131","Chris Myarick (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"132","Brycen Hopkins (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"133","Noah Togiai (FA)","1","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"134","Stephen Sullivan (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"135","Antonio Gandy-Golden (FA)","7","0","1","3","3.0","0","0","1","22","0","0","6","0.0","0.0","0.0%"
"136","Matt Sokol (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"137","Caleb Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"138","Zach Gentry (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"139","Daniel Helm (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"140","Hakeem Butler (FA)","1","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"141","N'Keal Harry (FA)","57","0","33","309","9.4","2","2","2","0","0","1","14","0.0","0.0","0.0%"
"142","Andrew Beck (NYJ)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"143","Nate Becker (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","Hale Hentges (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Mason Schreck (FA)","1","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"146","Eric Tomlinson (FA)","1","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"147","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"148","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","2.5%"
"149","J.P. Holtz (FA)","1","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"150","Antony Auclair (FA)","1","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"151","Garrett Griffin (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"152","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"153","Seth DeValve (FA)","1","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"154","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"155","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"156","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"157","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.2%"
"158","Ross Travis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
