"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","152","24.6","110","1,338","12.2","19","12","2","5","0","1","17","206.3","12.1","93.5%"
"2","George Kittle (SF)","86","17.2","60","765","12.8","12","11","0","0","0","1","15","140.5","9.4","96.3%"
"3","Taysom Hill (NO)","13","2.6","9","77","8.6","1","2","96","575","7","0","16","136.8","8.6","19.8%"
"4","T.J. Hockenson (MIN)","129","20.1","86","914","10.6","5","6","0","0","0","1","17","129.4","7.6","74.8%"
"5","Mark Andrews (BAL)","113","24.4","73","847","11.6","7","5","3","8","0","0","15","117.5","7.8","81.3%"
"6","Evan Engram (DEN)","98","18.3","73","766","10.5","10","4","2","13","0","0","17","103.9","6.1","55.8%"
"7","Cole Kmet (CHI)","69","19.1","50","544","10.9","6","7","2","9","0","0","17","97.3","5.7","4.0%"
"8","Juwan Johnson (NO)","65","13","42","508","12.1","8","7","0","0","0","0","16","92.8","5.8","49.2%"
"9","Dawson Knox (BUF)","65","11.8","48","517","10.8","8","6","0","0","0","0","15","87.7","5.8","3.2%"
"10","Dallas Goedert (PHI)","69","13.8","55","702","12.8","11","3","0","0","0","1","12","86.2","7.2","89.5%"
"11","Dalton Schultz (HOU)","89","15.9","57","577","10.1","5","5","0","0","0","1","15","85.7","5.7","56.9%"
"12","Pat Freiermuth (PIT)","98","17.9","63","732","11.6","9","2","0","0","0","0","15","85.2","5.7","8.9%"
"13","David Njoku (CLE)","80","16","58","628","10.8","8","4","2","-8","0","1","14","84.0","6.0","57.6%"
"14","Gerald Everett (FA)","87","0","58","555","9.6","4","4","1","0","0","0","15","81.5","5.4","1.4%"
"15","Tyler Higbee (LAR)","108","21.1","72","620","8.6","4","3","0","0","0","0","16","80.0","5.0","3.1%"
"16","Jordan Akins (FA)","54","0","37","495","13.4","8","5","0","0","0","1","15","79.5","5.3","1.0%"
"17","Tyler Conklin (LAC)","87","12.7","58","552","9.5","6","3","2","3","0","0","17","73.5","4.3","0.9%"
"18","Noah Fant (CIN)","63","10.6","50","486","9.7","4","4","0","0","0","0","17","72.6","4.3","2.6%"
"19","Zach Ertz (WAS)","69","13.1","47","406","8.6","2","4","0","0","0","0","10","68.6","6.9","40.0%"
"20","Mike Gesicki (CIN)","52","8.9","32","362","11.3","5","5","0","0","0","0","17","66.2","3.9","7.0%"
"21","Chig Okonkwo (TEN)","46","10.5","32","450","14.1","7","3","3","2","0","0","17","65.2","3.8","16.3%"
"22","Hunter Henry (NE)","59","11.8","41","509","12.4","10","2","0","0","0","0","16","62.9","3.9","71.2%"
"23","Robert Tonyan (KC)","67","11.1","53","470","8.9","5","2","0","0","0","0","17","59.0","3.5","0.0%"
"24","Darren Waller (MIA)","43","7.7","28","388","13.9","9","3","0","0","0","0","9","56.8","6.3","43.1%"
"25","Austin Hooper (NE)","60","12","41","444","10.8","2","2","0","0","0","0","17","56.4","3.3","0.6%"
"26","Hayden Hurst (FA)","70","0","54","439","8.1","5","2","0","0","0","0","14","55.9","4.0","1.3%"
"27","Isaiah Likely (BAL)","60","12.9","36","373","10.4","4","3","0","0","0","0","15","55.3","3.7","23.8%"
"28","Greg Dulcich (MIA)","55","9.7","33","411","12.5","6","2","0","0","0","0","10","53.1","5.3","3.1%"
"29","Will Dissly (LAC)","38","5.3","34","349","10.3","1","3","0","0","0","0","15","52.9","3.5","0.6%"
"30","Foster Moreau (NO)","54","10.8","33","420","12.7","7","2","0","2","0","1","14","52.2","3.7","1.2%"
"31","Cade Otton (TB)","65","9","42","391","9.3","4","2","0","0","0","0","16","51.1","3.2","25.6%"
"32","Jelani Woods (NYJ)","40","6.9","25","312","12.5","4","3","0","0","0","0","14","49.2","3.5","3.9%"
"33","Kyle Pitts Sr. (ATL)","59","15.1","28","356","12.7","5","2","0","0","0","0","10","47.6","4.8","93.2%"
"34","Brock Wright (DET)","24","4.5","18","216","12.0","3","4","0","0","0","0","16","45.6","2.9","3.6%"
"35","Daniel Bellinger (NYG)","35","7","30","268","8.9","2","2","1","2","1","1","12","45.0","3.8","0.6%"
"36","Colby Parkinson (LAR)","34","6.8","25","322","12.9","5","2","0","0","0","0","14","44.2","3.2","19.2%"
"37","Noah Gray (KC)","34","5.7","28","299","10.7","3","1","1","1","1","0","17","42.0","2.5","1.4%"
"38","MyCole Pruitt (FA)","21","0","16","150","9.4","2","4","0","0","0","0","10","39.0","3.9","1.0%"
"39","Logan Thomas (FA)","61","0","39","323","8.3","2","1","0","0","0","0","13","38.3","2.9","0.0%"
"40","C.J. Uzomah (FA)","27","0","21","232","11.0","4","2","0","0","0","0","14","35.2","2.5","0.0%"
"41","Mo Alie-Cox (IND)","28","4.8","19","189","9.9","1","3","0","0","0","1","14","34.9","2.5","0.6%"
"42","Tommy Tremble (CAR)","32","7.3","19","174","9.2","1","3","0","0","0","1","16","33.4","2.1","0.7%"
"43","Trey McBride (ARI)","39","6.2","29","265","9.1","3","1","0","0","0","0","14","32.5","2.3","99.7%"
"44","Harrison Bryant (HOU)","42","7.7","31","239","7.7","1","1","1","8","0","0","14","30.7","2.2","0.0%"
"45","Kylen Granson (PHI)","40","8","31","302","9.7","3","0","1","0","0","0","13","30.2","2.3","0.7%"
