"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","94","18.7","78","1,106","14.2","21","8","0","0","0","0","15","158.6","10.6","96.3%"
"2","Brock Bowers (LV)","153","25.9","112","1,194","10.7","15","5","5","13","0","0","17","150.7","8.9","83.7%"
"3","Trey McBride (ARI)","147","28.1","111","1,146","10.3","10","2","1","2","1","0","16","138.8","8.7","99.7%"
"4","Jonnu Smith (PIT)","111","24.1","88","884","10.0","4","8","2","-1","0","1","17","134.3","7.9","31.7%"
"5","Mark Andrews (BAL)","69","15","55","673","12.2","6","11","4","5","0","0","17","133.8","7.9","81.3%"
"6","Sam LaPorta (DET)","83","16.1","60","726","12.1","11","7","0","0","0","0","16","114.6","7.2","72.5%"
"7","Tucker Kraft (GB)","70","14.9","50","707","14.1","11","7","3","6","0","1","17","113.3","6.7","45.9%"
"8","Zach Ertz (WAS)","91","18.2","66","654","9.9","7","7","0","0","0","0","17","111.4","6.6","40.0%"
"9","Pat Freiermuth (PIT)","78","17.2","65","653","10.0","7","7","0","0","0","2","17","103.3","6.1","8.9%"
"10","Travis Kelce (KC)","133","23.4","97","823","8.5","9","3","1","1","0","1","16","98.4","6.2","93.5%"
"11","David Njoku (CLE)","97","15.4","64","505","7.9","4","5","0","0","0","0","11","84.5","7.7","57.6%"
"12","Kyle Pitts Sr. (ATL)","74","13.8","47","602","12.8","7","4","0","0","0","0","17","84.2","5.0","93.2%"
"13","Isaiah Likely (BAL)","58","12.8","42","477","11.4","4","6","0","0","0","1","16","81.7","5.1","23.8%"
"14","Cade Otton (TB)","87","15.5","59","600","10.2","7","4","1","-4","0","1","14","81.6","5.8","25.6%"
"15","Taysom Hill (NO)","31","6.1","23","187","8.1","2","0","39","278","6","1","8","80.3","10.0","19.8%"
"16","Hunter Henry (NE)","97","19.4","66","674","10.2","4","2","0","0","0","0","16","79.4","5.0","71.2%"
"17","Mike Gesicki (CIN)","83","13.2","65","665","10.2","5","2","0","0","0","1","17","76.5","4.5","7.0%"
"18","Cole Kmet (CHI)","55","10.6","47","474","10.1","7","4","0","0","0","0","17","73.4","4.3","4.0%"
"19","Noah Gray (KC)","49","8.9","40","437","10.9","6","5","1","-4","0","0","17","73.3","4.3","1.4%"
"20","Juwan Johnson (NO)","66","13.1","50","548","11.0","8","3","0","0","0","0","17","72.8","4.3","49.2%"
"21","Foster Moreau (NO)","43","8.6","32","413","12.9","7","5","0","0","0","0","17","71.3","4.2","1.2%"
"22","Tyler Conklin (LAC)","72","14.5","51","449","8.8","7","4","1","0","0","0","16","70.9","4.4","0.9%"
"23","Dalton Schultz (HOU)","85","15.5","53","532","10.0","5","2","0","0","0","0","17","65.2","3.8","56.9%"
"24","Austin Hooper (NE)","59","11.8","45","476","10.6","5","3","0","0","0","1","17","63.6","3.7","0.6%"
"25","Chig Okonkwo (TEN)","70","14","52","479","9.2","4","2","1","17","0","1","17","61.6","3.6","16.3%"
