"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","153","25.9","107","1,361","12.7","20","9","1","0","0","0","17","194.1","11.4","81.3%"
"2","Travis Kelce (KC)","134","21.1","92","1,125","12.2","13","9","2","3","1","1","16","170.8","10.7","93.5%"
"3","Dalton Schultz (HOU)","104","19.7","78","808","10.4","6","8","0","0","0","0","17","130.8","7.7","56.9%"
"4","George Kittle (SF)","94","19.8","71","910","12.8","13","6","3","20","0","1","14","127.0","9.1","96.3%"
"5","Rob Gronkowski (FA)","88","0","55","802","14.6","16","6","0","0","0","0","12","116.2","9.7","1.3%"
"6","Dawson Knox (BUF)","71","11.4","49","587","12.0","8","9","0","4","0","0","15","115.1","7.7","3.2%"
"7","Hunter Henry (NE)","75","14.5","50","603","12.1","8","9","0","0","0","0","16","114.3","7.1","71.2%"
"8","Dallas Goedert (PHI)","76","16.3","56","830","14.8","14","4","0","0","0","0","15","109.0","7.3","89.5%"
"9","Kyle Pitts Sr. (ATL)","110","19.9","68","1,026","15.1","16","1","0","0","0","0","17","108.6","6.4","93.2%"
"10","Zach Ertz (WAS)","112","20.9","74","763","10.3","7","5","1","4","0","0","17","106.7","6.3","40.0%"
"11","Mike Gesicki (CIN)","112","20.8","73","780","10.7","12","2","0","0","0","0","17","92.0","5.4","7.0%"
"12","Pat Freiermuth (PIT)","79","12.3","60","497","8.3","2","7","0","0","0","1","16","91.7","5.7","8.9%"
"13","Noah Fant (CIN)","90","16.5","68","670","9.9","7","4","0","0","0","0","16","91.0","5.7","2.6%"
"14","Tyler Higbee (LAR)","85","14","61","560","9.2","3","5","0","0","0","0","15","86.0","5.7","3.1%"
"15","Jared Cook (FA)","83","0","48","564","11.8","7","4","0","0","0","0","16","84.4","5.3","0.0%"
"16","T.J. Hockenson (MIN)","84","14.6","61","583","9.6","8","4","0","0","0","0","12","84.3","7.0","74.8%"
"17","C.J. Uzomah (FA)","63","0","49","493","10.1","7","5","0","0","0","0","16","79.3","5.0","0.0%"
"18","Darren Waller (MIA)","93","15.5","55","665","12.1","13","2","0","0","0","0","11","78.5","7.1","43.1%"
"19","Tyler Conklin (LAC)","87","13.6","61","593","9.7","4","3","0","0","0","0","17","77.3","4.5","0.9%"
"20","David Njoku (CLE)","53","10.6","36","475","13.2","8","4","1","1","0","0","15","71.6","4.8","57.6%"
"21","Gerald Everett (FA)","63","0","48","478","10.0","5","4","3","20","0","2","15","69.8","4.7","1.4%"
