"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","120","21.2","86","889","10.3","8","10","1","4","0","0","17","153.3","9.0","72.5%"
"2","George Kittle (SF)","90","18.9","65","1,020","15.7","18","6","1","2","0","0","16","138.2","8.6","96.3%"
"3","Travis Kelce (KC)","121","20.3","93","984","10.6","12","5","0","0","0","1","15","126.4","8.4","93.5%"
"4","T.J. Hockenson (MIN)","127","21.1","95","960","10.1","13","5","0","0","0","1","15","124.0","8.3","74.8%"
"5","David Njoku (CLE)","123","20.5","81","882","10.9","12","6","0","0","0","2","16","120.2","7.5","57.6%"
"6","Evan Engram (DEN)","143","30.2","114","963","8.4","9","4","0","0","0","2","17","116.3","6.8","55.8%"
"7","Taysom Hill (NO)","40","7","33","291","8.8","2","2","81","401","4","1","16","110.5","6.9","19.8%"
"8","Cole Kmet (CHI)","90","18.9","73","719","9.8","9","6","3","2","0","0","17","108.1","6.4","4.0%"
"9","Jake Ferguson (DAL)","102","17.1","71","761","10.7","8","5","0","0","0","0","17","106.1","6.2","84.9%"
"10","Trey McBride (ARI)","106","19.8","81","825","10.2","9","3","0","0","0","0","17","100.5","5.9","99.7%"
"11","Dalton Schultz (HOU)","88","15.4","59","635","10.8","7","5","0","0","0","1","15","91.5","6.1","56.9%"
"12","Mark Andrews (BAL)","61","13","45","544","12.1","8","6","1","0","0","0","10","90.4","9.0","81.3%"
"13","Kyle Pitts Sr. (ATL)","90","18","53","667","12.6","7","3","1","-4","0","0","17","84.3","5.0","93.2%"
"14","Hunter Henry (NE)","61","11.4","42","419","10.0","2","6","0","0","0","0","14","77.9","5.6","71.2%"
"15","Dallas Goedert (PHI)","83","15.8","59","592","10.0","6","3","1","1","0","0","14","77.3","5.5","89.5%"
"16","Dalton Kincaid (BUF)","91","16.9","73","673","9.2","5","2","0","0","0","1","16","77.3","4.8","71.9%"
"17","Jonnu Smith (PIT)","70","14.1","50","582","11.6","4","3","1","0","0","1","17","74.2","4.4","31.7%"
"18","Logan Thomas (FA)","78","0","55","496","9.0","3","4","1","2","0","2","16","71.8","4.5","0.0%"
"19","Isaiah Likely (BAL)","40","8.3","30","411","13.7","6","5","0","0","0","0","17","71.1","4.2","23.8%"
"20","Cade Otton (TB)","67","12.1","47","455","9.7","6","4","0","0","0","1","17","69.5","4.1","25.6%"
"21","Tyler Conklin (LAC)","87","14.2","61","621","10.2","7","0","1","0","0","0","17","62.1","3.7","0.9%"
"22","Tyler Higbee (LAR)","70","12.5","47","495","10.5","6","2","0","0","0","0","15","61.5","4.1","3.1%"
"23","Darren Waller (MIA)","74","13.6","52","552","10.6","8","1","0","0","0","0","12","61.2","5.1","43.1%"
"24","Juwan Johnson (NO)","59","10.1","37","368","9.9","7","4","0","0","0","0","13","60.8","4.7","49.2%"
"25","Gerald Everett (FA)","70","0","51","411","8.1","4","3","3","10","0","0","15","60.1","4.0","1.4%"
