"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Derrick Henry (BAL)","378","2,027","5.4","94","16","17","31","19","114","6.0","0","2","16","314.1","19.6","99.7%"
"2","Alvin Kamara (NO)","187","932","5.0","49","7","16","107","83","756","9.1","5","0","15","294.8","19.7","86.4%"
"3","Dalvin Cook (FA)","312","1,557","5.0","70","6","16","54","44","361","8.2","1","3","14","293.8","21.0","0.6%"
"4","Jonathan Taylor (IND)","232","1,169","5.0","62","7","11","40","36","299","8.3","1","1","15","216.8","14.5","99.6%"
"5","Aaron Jones Sr. (MIN)","201","1,104","5.5","77","6","9","63","47","355","7.6","2","0","14","211.9","15.1","88.0%"
"6","David Montgomery (DET)","247","1,070","4.3","80","5","8","68","54","438","8.1","2","1","15","210.8","14.1","92.3%"
"7","James Robinson (FA)","240","1,070","4.5","47","5","7","60","49","344","7.0","3","1","14","201.4","14.4","0.0%"
"8","Josh Jacobs (GB)","273","1,065","3.9","28","3","12","45","33","238","7.2","0","2","15","198.3","13.2","98.9%"
"9","Nick Chubb (HOU)","190","1,067","5.6","59","12","12","18","16","150","9.4","0","1","12","191.7","16.0","36.1%"
"10","Kareem Hunt (KC)","198","841","4.2","33","3","6","51","38","304","8.0","5","0","16","180.5","11.3","49.1%"
"11","Ezekiel Elliott (FA)","244","979","4.0","31","3","6","71","52","338","6.5","2","5","15","171.7","11.4","0.9%"
"12","Kenyan Drake (FA)","239","955","4.0","69","6","10","31","25","137","5.5","0","1","15","167.2","11.1","1.1%"
"13","Melvin Gordon III (FA)","215","986","4.6","65","5","9","44","32","158","4.9","1","4","15","166.4","11.1","0.0%"
"14","Antonio Gibson (NE)","170","795","4.7","40","5","11","44","36","247","6.9","0","2","14","166.2","11.9","1.3%"
"15","Ronald Jones II (FA)","192","978","5.1","98","6","7","42","28","165","5.9","1","2","14","158.3","11.3","0.0%"
"16","Chris Carson (FA)","141","681","4.8","29","3","5","46","37","287","7.8","4","0","12","150.8","12.6","0.3%"
"17","J.K. Dobbins (DEN)","134","805","6.0","72","8","9","24","18","120","6.7","0","0","15","150.5","10.0","52.4%"
"18","Mike Davis (FA)","165","642","3.9","25","2","6","70","59","373","6.3","2","1","15","147.5","9.8","1.0%"
"19","David Johnson (FA)","147","691","4.7","48","4","6","46","33","314","9.5","2","1","12","146.5","12.2","0.0%"
"20","D'Andre Swift (CHI)","114","521","4.6","54","1","8","57","46","357","7.8","2","2","13","143.8","11.1","94.3%"
"21","Miles Sanders (DAL)","164","867","5.3","82","4","6","52","28","197","7.0","0","2","12","142.4","11.9","1.6%"
"22","Clyde Edwards-Helaire (FA)","181","803","4.4","31","3","4","54","36","297","8.3","1","0","13","140.0","10.8","0.6%"
"23","Todd Gurley II (FA)","195","678","3.5","35","2","9","35","25","164","6.6","0","0","15","138.2","9.2","0.6%"
"24","Nyheim Miller-Hines (FA)","89","380","4.3","31","3","3","76","63","482","7.7","4","0","16","130.2","8.1","0.1%"
"25","James Conner (ARI)","169","721","4.3","59","5","6","43","35","215","6.1","0","0","13","129.6","10.0","45.4%"
"26","Jeff Wilson Jr. (FA)","126","600","4.8","34","3","7","28","13","133","10.2","3","2","12","129.3","10.8","1.0%"
"27","Myles Gaskin (FA)","142","584","4.1","26","3","3","47","41","388","9.5","2","2","10","123.2","12.3","0.0%"
"28","Gus Edwards (FA)","144","723","5.0","36","8","6","13","9","129","14.3","0","1","16","119.2","7.5","1.0%"
"29","Wayne Gallman Jr. (FA)","147","682","4.6","60","3","6","27","21","114","5.4","0","0","15","115.6","7.7","0.0%"
"30","Chase Edmonds (WAS)","97","448","4.6","32","4","1","67","53","402","7.6","4","0","16","115.0","7.2","0.0%"
"31","Darrell Henderson Jr. (FA)","138","624","4.5","40","3","5","24","16","159","9.9","1","0","15","114.3","7.6","0.0%"
"32","Latavius Murray (FA)","146","656","4.5","36","3","4","26","23","176","7.7","1","0","15","113.2","7.5","0.0%"
"33","Adrian Peterson (FA)","156","604","3.9","38","4","7","18","12","101","8.4","0","0","16","112.5","7.0","2.0%"
"34","J.D. McKissic (FA)","85","365","4.3","17","0","1","110","80","589","7.4","2","1","16","111.4","7.0","1.0%"
"35","Austin Ekeler (WAS)","116","530","4.6","27","2","1","65","54","403","7.5","2","0","10","111.3","11.1","31.3%"
"36","Giovani Bernard (FA)","124","416","3.4","15","0","3","59","47","355","7.6","3","1","16","111.1","6.9","0.0%"
