"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"37","Devin Singletary (NYG)","156","687","4.4","51","3","2","50","38","269","7.1","0","1","16","105.6","6.6","33.0%"
"38","Jamaal Williams (FA)","119","505","4.2","25","1","2","35","31","236","7.6","1","0","14","96.1","6.9","2.0%"
"39","Leonard Fournette (FA)","97","367","3.8","46","3","6","47","36","233","6.5","0","0","13","96.0","7.4","0.1%"
"40","Jerick McKinnon (FA)","81","319","3.9","55","1","5","46","33","253","7.7","1","0","16","93.2","5.8","0.0%"
"41","Tony Pollard (TEN)","101","435","4.3","42","4","4","40","28","193","6.9","1","0","16","92.8","5.8","87.8%"
"42","Cam Akers (SEA)","145","625","4.3","61","4","2","14","11","123","11.2","1","1","12","90.8","7.6","0.7%"
"43","Zack Moss (FA)","112","481","4.3","31","4","4","18","14","95","6.8","1","0","13","87.6","6.7","1.9%"
"44","Damien Harris (FA)","137","691","5.0","41","4","2","7","5","52","10.4","0","0","10","86.3","8.6","9.0%"
"45","Malcolm Brown (FA)","101","419","4.1","19","0","5","33","23","162","7.0","0","1","16","86.1","5.4","0.0%"
"46","Frank Gore (FA)","187","653","3.5","17","0","2","19","16","89","5.6","0","1","15","84.2","5.6","8.4%"
"47","Raheem Mostert (LV)","104","521","5.0","80","2","2","19","16","156","9.8","1","1","8","83.7","10.5","1.6%"
"48","Rex Burkhead (FA)","67","274","4.1","18","0","3","33","25","192","7.7","3","0","10","82.6","8.3","10.0%"
"49","Joe Mixon (HOU)","119","428","3.6","34","3","3","26","21","138","6.6","1","1","6","78.6","13.1","45.7%"
"50","Alexander Mattison (MIA)","96","434","4.5","25","4","2","15","13","125","9.6","1","0","13","73.9","5.7","0.6%"
"51","Christian McCaffrey (SF)","59","225","3.8","15","0","5","19","17","149","8.8","1","0","3","73.4","24.5","99.8%"
"52","Boston Scott (FA)","80","374","4.7","56","2","1","36","25","212","8.5","1","0","16","70.6","4.4","0.0%"
"53","Brian Hill (FA)","100","465","4.7","62","3","1","30","25","199","8.0","0","1","16","70.4","4.4","0.0%"
"54","Carlos Hyde (FA)","81","356","4.4","50","2","4","20","16","93","5.8","0","0","10","68.9","6.9","0.0%"
"55","Devontae Booker (FA)","93","423","4.5","43","4","3","21","17","84","4.9","0","0","16","68.7","4.3","0.0%"
"56","Sony Michel (FA)","79","449","5.7","48","4","1","9","7","114","16.3","1","0","9","68.3","7.6","0.0%"
"57","James White (FA)","35","121","3.5","10","0","2","62","49","375","7.7","1","0","14","67.6","4.8","0.1%"
"58","Kalen Ballage (FA)","91","303","3.3","17","0","3","37","29","166","5.7","0","0","11","64.9","5.9","0.0%"
"59","Benny Snell Jr. (FA)","111","368","3.3","30","3","4","14","10","61","6.1","0","1","16","64.9","4.1","0.0%"
"60","Kyle Juszczyk (SF)","17","64","3.8","10","0","2","29","19","202","10.6","4","0","16","62.6","3.9","0.8%"
"61","Phillip Lindsay (FA)","118","502","4.3","55","6","1","14","7","28","4.0","0","0","11","59.0","5.4","0.0%"
"62","Le'Veon Bell (FA)","82","328","4.0","16","0","2","20","16","138","8.6","0","0","11","58.6","5.3","0.2%"
"63","Joshua Kelley (FA)","111","354","3.2","33","3","2","23","23","148","6.4","0","2","14","58.2","4.2","0.0%"
"64","Salvon Ahmed (IND)","75","319","4.3","31","1","3","14","11","61","5.5","0","0","6","58.0","9.7","0.0%"
"65","Duke Johnson Jr. (FA)","77","235","3.1","23","1","1","35","28","249","8.9","1","2","11","56.4","5.1","0.0%"
"66","Samaje Perine (CIN)","63","301","4.8","46","1","3","12","11","66","6.0","0","0","16","54.7","3.4","4.7%"
"67","Kerryon Johnson (FA)","52","181","3.5","14","0","2","26","19","187","9.8","1","1","16","52.8","3.3","1.0%"
"68","Peyton Barber (FA)","94","258","2.7","15","0","4","7","4","12","3.0","0","0","16","51.0","3.2","1.0%"
"69","Jordan Wilkins (FA)","84","308","3.7","22","1","1","16","12","105","8.8","0","0","15","49.3","3.3","0.0%"
"70","Ty Johnson (BUF)","54","254","4.7","34","1","1","21","16","99","6.2","1","0","13","47.3","3.6","4.0%"
"71","Mark Ingram II (FA)","72","299","4.2","30","2","2","8","6","50","8.3","0","0","11","46.9","4.3","0.6%"
"72","Justin Jackson (FA)","59","270","4.6","36","3","0","24","19","173","9.1","0","0","9","46.3","5.1","0.0%"
"73","La'Mical Perine (FA)","64","232","3.6","20","1","2","15","11","63","5.7","0","0","10","41.5","4.2","0.0%"
"74","Ito Smith (FA)","63","268","4.3","24","1","1","26","17","75","4.4","0","0","14","40.3","2.9","1.0%"
"75","DeeJay Dallas (JAC)","34","108","3.2","13","0","2","20","17","111","6.5","1","0","12","39.9","3.3","0.0%"
"76","A.J. Dillon (PHI)","46","242","5.3","30","2","2","2","2","21","10.5","0","0","11","38.3","3.5","1.3%"
"77","Dion Lewis (FA)","29","115","4.0","19","0","2","30","19","127","6.7","1","2","16","38.2","2.4","2.0%"
"78","Alfred Morris (FA)","55","238","4.3","20","1","1","4","3","19","6.3","1","0","9","37.7","4.2","0.0%"
"79","Darrel Williams (FA)","39","169","4.3","13","0","1","26","18","116","6.4","0","0","16","36.5","2.3","0.0%"
"80","Matt Breida (FA)","59","254","4.3","24","1","0","10","9","96","10.7","0","1","12","33.0","2.8","0.0%"
"81","Jalen Richard (FA)","22","123","5.6","20","1","1","23","19","138","7.3","0","0","13","32.1","2.5","1.0%"
"82","Jeremy McNichols (WAS)","47","204","4.3","20","1","1","17","12","55","4.6","0","0","16","31.9","2.0","2.1%"
"83","Josh Adams (FA)","29","157","5.4","25","1","2","8","6","29","4.8","0","0","8","30.6","3.8","0.0%"
"84","Jordan Howard (FA)","35","60","1.7","11","0","4","1","1","-3","-3.0","0","0","7","29.7","4.2","0.0%"
"85","Devonta Freeman (FA)","54","172","3.2","14","0","1","10","7","58","8.3","0","0","5","29.0","5.8","0.0%"
"86","Rodney Smith (FA)","41","156","3.8","13","0","1","11","9","59","6.6","0","0","7","27.5","3.9","0.0%"
"87","Darwin Thompson (FA)","27","97","3.6","14","0","1","11","7","65","9.3","1","1","13","26.2","2.0","0.0%"
"88","Royce Freeman (FA)","35","170","4.9","23","2","0","13","12","81","6.8","0","0","16","25.1","1.6","0.0%"
"89","JaMycal Hasty (FA)","39","148","3.8","20","1","1","8","7","33","4.7","0","0","8","24.1","3.0","1.1%"
"90","Travis Homer (CHI)","25","88","3.5","12","0","0","10","9","90","10.0","1","0","9","23.8","2.6","0.6%"
"91","Chris Thompson (FA)","7","20","2.9","5","0","0","23","20","146","7.3","1","0","8","22.6","2.8","0.0%"
"92","Ameer Abdullah (IND)","8","42","5.3","13","0","0","9","8","58","7.3","2","0","16","22.0","1.4","0.8%"
"93","Antonio Williams (FA)","12","63","5.3","18","0","2","1","1","20","20.0","0","0","1","20.3","20.3","0.0%"
"94","Alex Collins (FA)","18","77","4.3","13","0","2","2","1","4","4.0","0","0","3","20.1","6.7","19.0%"
"95","Dare Ogunbowale (HOU)","32","145","4.5","25","1","0","20","10","54","5.4","0","0","14","19.9","1.4","0.8%"
"96","Ke'Shawn Vaughn (FA)","26","109","4.2","19","0","0","10","5","34","6.8","1","1","10","18.3","1.8","0.0%"
"97","D'Ernest Johnson (NE)","33","166","5.0","28","3","0","4","3","14","4.7","0","0","16","18.0","1.1","1.0%"
"98","C.J. Ham (MIN)","5","18","3.6","10","0","0","14","8","97","12.1","1","0","15","17.5","1.2","0.6%"
"99","Alec Ingold (MIA)","3","4","1.3","3","0","0","17","12","110","9.2","1","0","16","17.4","1.1","0.6%"
"100","Trayveon Williams (CLE)","26","157","6.0","55","1","0","5","5","30","6.0","0","1","10","16.7","1.7","0.1%"
"101","Anthony McFarland Jr. (FA)","33","113","3.4","20","1","0","10","6","54","9.0","0","0","11","16.7","1.5","1.1%"
"102","Corey Clement (FA)","21","75","3.6","7","0","1","6","5","25","5.0","0","0","15","16.0","1.1","0.0%"
"103","D'Onta Foreman (FA)","22","95","4.3","15","0","0","1","1","5","5.0","1","0","6","16.0","2.7","2.7%"
"104","Gabe Nabers (FA)","2","7","3.5","4","0","0","7","5","25","5.0","2","0","16","15.2","1.0","0.6%"
"105","T.J. Yeldon (FA)","10","70","7.0","34","1","0","4","1","22","22.0","1","0","3","15.2","5.1","0.0%"
"106","Tyler Ervin (FA)","13","67","5.2","21","1","0","15","11","84","7.6","0","0","8","15.1","1.9","0.0%"
"107","Reggie Bonnafon (FA)","12","69","5.8","22","1","0","2","2","18","9.0","1","0","2","14.7","7.4","0.0%"
"108","Darrynton Evans (FA)","14","54","3.9","9","0","0","4","2","27","13.5","1","0","5","14.1","2.8","0.0%"
"109","LeSean McCoy (FA)","10","31","3.1","14","0","0","19","15","101","6.7","0","0","10","13.2","1.3","2.0%"
"110","Mike Boone (FA)","11","59","5.4","19","0","1","2","2","10","5.0","0","0","16","12.9","0.8","1.0%"
"111","Ty Montgomery II (FA)","19","101","5.3","36","1","0","6","3","27","9.0","0","0","6","12.8","2.1","0.0%"
"112","Ryan Nall (FA)","3","0","0.0","0","0","0","9","8","67","8.4","1","0","15","12.7","0.8","0.0%"
"113","DeAndre Washington (FA)","31","91","2.9","16","0","0","10","5","30","6.0","0","0","4","12.1","3.0","11.0%"
"114","Patrick Laird (FA)","13","72","5.5","17","0","0","12","10","68","6.8","0","1","16","12.0","0.8","0.0%"
"115","Troymaine Pope (FA)","15","76","5.1","26","1","0","10","8","42","5.3","0","0","6","11.8","2.0","0.0%"
"116","Tarik Cohen (FA)","14","74","5.3","17","0","0","9","6","41","6.8","0","0","3","11.5","3.8","0.0%"
"117","J.J. Taylor (FA)","23","110","4.8","28","1","0","2","1","4","4.0","0","0","6","11.4","1.9","1.0%"
"118","Jakob Johnson (FA)","0","0","0","0","0","0","9","8","35","4.4","1","0","16","9.5","0.6","0.0%"
"119","Saquon Barkley (PHI)","19","34","1.8","18","0","0","9","6","60","10.0","0","0","2","9.4","4.7","99.8%"
"120","Artavis Pierce (FA)","6","34","5.7","23","1","1","0","0","0","0","0","0","5","9.4","1.9","0.0%"
"121","Tevin Coleman (FA)","28","53","1.9","12","0","0","5","4","34","8.5","0","0","8","8.7","1.1","0.0%"
"122","Patrick Ricard (BAL)","1","-1","-1.0","0","0","0","12","9","45","5.0","1","1","15","8.4","0.6","1.4%"
"123","Justice Hill (BAL)","12","60","5.0","19","0","0","5","5","20","4.0","0","0","12","8.0","0.7","8.9%"
"124","C.J. Prosise (FA)","10","19","1.9","7","0","0","5","5","18","3.6","1","1","10","7.7","0.8","0.0%"
"125","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","2","16","8.0","1","0","14","7.6","0.5","0.0%"
"126","Jaylen Samuels (FA)","9","28","3.1","6","0","0","14","9","46","5.1","0","0","14","7.4","0.5","0.0%"
"127","Anthony Sherman (FA)","3","8","2.7","6","0","0","2","1","5","5.0","1","0","12","7.3","0.6","1.2%"
"128","Jonathan Ward (FA)","0","0","0","0","0","0","1","1","11","11.0","1","0","14","7.1","0.5","0.0%"
"129","Buddy Howell (FA)","16","64","4.0","9","0","0","2","1","3","3.0","0","0","14","6.7","0.5","0.0%"
"130","Keith Smith (FA)","4","7","1.8","3","0","0","15","11","59","5.4","0","0","16","6.6","0.4","0.0%"
"131","Theo Riddick (FA)","6","14","2.3","11","0","0","6","5","43","8.6","0","0","5","5.7","1.1","0.0%"
"132","Marlon Mack (FA)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","5.6","5.6","0.0%"
"133","Dontrell Hilliard (FA)","9","48","5.3","19","0","0","1","1","2","2.0","0","0","7","5.0","0.7","0.0%"
"134","Trenton Cannon (FA)","10","33","3.3","13","0","0","3","3","16","5.3","0","0","14","4.9","0.4","0.0%"
"135","Michael Burton (DEN)","7","18","2.6","7","0","0","4","4","28","7.0","0","0","15","4.6","0.3","0.0%"
"136","Devine Ozigbo (FA)","1","1","1.0","1","0","0","9","9","42","4.7","0","0","8","4.3","0.5","1.0%"
"137","Khari Blasingame (FA)","0","0","0","0","0","0","5","4","39","9.8","0","0","15","3.9","0.3","0.0%"
"138","Elijhaa Penny (FA)","6","15","2.5","5","0","0","3","2","20","10.0","0","0","14","3.5","0.3","0.0%"
"139","Rashaad Penny (FA)","11","34","3.1","7","0","0","0","0","0","0","0","0","3","3.4","1.1","0.0%"
"140","Bo Scarbrough (FA)","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"141","Austin Walter (FA)","1","3","3.0","3","0","0","1","1","27","27.0","0","0","4","3.0","0.8","0.0%"
"142","Alex Armah Jr. (FA)","6","9","1.5","3","0","0","9","5","18","3.6","0","0","16","2.7","0.2","0.0%"
"143","Rico Dowdle (CAR)","7","24","3.4","7","0","0","0","0","0","0","0","0","15","2.4","0.2","70.9%"
"144","Jason Huntley (FA)","5","19","3.8","10","0","0","2","1","0","0.0","0","0","5","1.9","0.4","0.0%"
"145","Andy Janovich (FA)","2","4","2.0","2","0","0","5","2","13","6.5","0","0","14","1.7","0.1","0.0%"
"146","Scottie Phillips (FA)","2","9","4.5","5","0","0","1","1","7","7.0","0","0","8","1.6","0.2","0.0%"
"147","LeVante Bellamy (FA)","4","11","2.8","8","0","0","1","1","5","5.0","0","0","5","1.6","0.3","0.0%"
"148","Dwayne Washington (FA)","8","15","1.9","5","0","0","0","0","0","0","0","0","11","1.5","0.1","0.0%"
"149","Tony Jones Jr. (FA)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"150","Chandler Cox (FA)","0","0","0","0","0","0","2","2","9","4.5","0","0","8","0.9","0.1","0.0%"
"151","D.J. Foster (FA)","2","2","1.0","2","0","0","1","1","7","7.0","0","0","10","0.9","0.1","0.0%"
"152","Senorise Perry (FA)","2","9","4.5","6","0","0","0","0","0","0","0","0","7","0.9","0.1","0.0%"
"153","Dexter Williams (FA)","2","8","4.0","5","0","0","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"154","Craig Reynolds (NE)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","2","0.7","0.4","0.6%"
"155","Cullen Gillaspia (FA)","0","0","0","0","0","0","1","1","6","6.0","0","0","7","0.6","0.1","0.0%"
"156","Lamar Miller (FA)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","0.6","0.6","0.0%"
"157","Jonathan Williams (FA)","1","5","5.0","5","0","0","4","4","21","5.3","0","1","5","0.6","0.1","0.0%"
"158","Tony Brooks-James (FA)","3","4","1.3","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"159","Qadree Ollison (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"160","Nathan Cottrell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"161","Jake Bargas (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"162","Taiwan Jones (FA)","0","0","0","0","0","0","2","0","0","0","0","0","13","0.0","0.0","1.0%"
"163","Bruce Miller (FA)","0","0","0","0","0","0","2","1","2","2.0","0","0","8","0.0","0.0","1.0%"
"164","Cordarrelle Patterson (FA)","64","232","3.6","13","0","1","25","21","132","6.3","0","0","16","0.0","0.0","0.6%"
"165","Kenjon Barner (FA)","0","0","0","0","0","0","1","0","0","0","0","0","6","0.0","0.0","0.0%"
"166","Jason Cabinda (FA)","1","0","0.0","0","0","0","3","2","8","4.0","0","0","16","0.0","0.0","1.1%"
"167","Johnny Stanton IV (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"169","Cethan Carter (FA)","0","0","0","0","0","0","7","5","53","10.6","0","0","15","0.0","0.0","0.0%"
"170","Javon Leake (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Michael Warren II (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"172","Darius Bradwell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"173","Xavier Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"174","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Sewo Olonilua (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"176","Raymond Calais (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"177","Elijah Holyfield (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Jeremy Cox (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"179","John Lovett (FA)","3","6","2.0","4","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"180","Andrew Beck (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"181","J.P. Holtz (FA)","0","0","0","0","0","0","1","0","0","0","0","0","16","0.0","0.0","0.0%"
"182","Derek Watt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"183","Brandin Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"184","Wendell Smallwood (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"185","Adrian Killins Jr. (FA)","1","-12","-12.0","0","0","0","1","1","2","2.0","0","0","1","-1.0","-1.0","0.0%"
""
""
