"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"21","De'Von Achane (MIA)","103","800","7.8","76","8","8","37","27","197","7.3","3","1","11","163.7","14.9","99.7%"
"22","Brian Robinson Jr. (SF)","178","733","4.1","29","4","5","43","36","368","10.2","4","2","15","162.1","10.8","44.3%"
"23","D'Andre Swift (CHI)","229","1,049","4.6","43","6","5","49","39","214","5.5","1","1","16","160.3","10.0","94.3%"
"24","Alvin Kamara (NO)","180","694","3.9","17","0","5","86","75","466","6.2","1","0","13","158.0","12.2","86.4%"
"25","Josh Jacobs (GB)","233","805","3.5","63","3","6","54","37","296","8.0","0","1","13","144.1","11.1","98.9%"
"26","Chuba Hubbard (CAR)","238","902","3.8","22","4","5","44","39","233","6.0","0","0","17","143.5","8.4","65.3%"
"27","Zack Moss (FA)","183","794","4.3","56","6","5","37","27","192","7.1","2","0","14","142.6","10.2","1.9%"
"28","Jonathan Taylor (IND)","169","741","4.4","49","4","7","23","19","153","8.1","1","0","10","137.4","13.7","99.6%"
"29","Devin Singletary (NYG)","216","898","4.2","34","3","4","38","30","193","6.4","0","0","17","137.3","8.1","33.0%"
"30","Jaylen Warren (PIT)","149","784","5.3","74","6","4","74","61","370","6.1","0","2","17","135.4","8.0","91.8%"
"31","Austin Ekeler (WAS)","179","628","3.5","55","3","5","74","51","436","8.5","1","4","14","134.4","9.6","31.3%"
"32","Javonte Williams (DAL)","217","774","3.6","31","2","3","58","47","228","4.9","2","1","16","132.2","8.3","96.0%"
"33","Ezekiel Elliott (FA)","184","642","3.5","17","0","3","65","51","313","6.1","2","1","17","123.5","7.3","0.9%"
"34","Tyler Allgeier (ATL)","186","683","3.7","31","2","4","23","18","193","10.7","1","0","17","119.6","7.0","36.1%"
"35","Rhamondre Stevenson (NE)","156","619","4.0","64","1","4","51","38","238","6.3","0","1","12","107.7","9.0","78.2%"
"36","Aaron Jones Sr. (MIN)","142","656","4.6","39","3","2","43","30","233","7.8","1","1","11","104.9","9.5","88.0%"
"37","Kareem Hunt (KC)","135","411","3.0","16","0","9","21","15","84","5.6","0","0","15","103.5","6.9","49.1%"
"38","Alexander Mattison (MIA)","180","700","3.9","21","1","0","44","30","192","6.4","3","2","16","103.2","6.5","0.6%"
"39","Tyjae Spears (TEN)","100","453","4.5","23","3","2","70","52","385","7.4","1","0","17","101.8","6.0","39.4%"
"40","A.J. Dillon (PHI)","178","613","3.4","40","1","2","28","22","223","10.1","0","0","15","95.6","6.4","1.3%"
"41","Khalil Herbert (NYJ)","132","611","4.6","38","5","2","31","20","134","6.7","1","1","12","92.5","7.7","1.1%"
"42","Justice Hill (BAL)","84","387","4.6","41","2","3","39","28","206","7.4","1","1","16","81.3","5.1","8.9%"
"43","D'Onta Foreman (FA)","109","425","3.9","22","1","4","16","11","77","7.0","1","0","9","80.2","8.9","2.7%"
"44","Ty Chandler (MIN)","102","461","4.5","31","3","3","25","21","159","7.6","0","0","16","80.0","5.0","0.9%"
"45","Antonio Gibson (NE)","65","265","4.1","16","0","1","59","48","389","8.1","2","2","16","79.4","5.0","1.3%"
"46","Jaleel McLaughlin (DEN)","76","410","5.4","38","4","1","36","31","160","5.2","2","0","17","75.0","4.4","1.9%"
"47","Rico Dowdle (CAR)","89","361","4.1","21","2","2","22","17","144","8.5","2","0","16","74.5","4.7","70.9%"
"48","Zach Charbonnet (SEA)","108","462","4.3","23","4","1","40","33","209","6.3","0","0","16","73.1","4.6","75.6%"
"49","Samaje Perine (CIN)","53","238","4.5","24","1","1","56","50","455","9.1","0","2","17","71.3","4.2","4.7%"
"50","Dameon Pierce (KC)","145","416","2.9","22","1","2","17","13","101","7.8","0","0","14","69.7","5.0","3.6%"
"51","Roschon Johnson (CHI)","81","352","4.3","29","2","2","40","34","209","6.1","0","0","15","68.1","4.5","1.8%"
"52","Kenneth Gainwell (PIT)","84","364","4.3","32","3","2","37","30","183","6.1","0","1","16","67.4","4.2","79.5%"
"53","Latavius Murray (FA)","79","300","3.8","29","2","4","22","17","119","7.0","0","0","15","65.9","4.4","0.0%"
"54","Keaton Mitchell (BAL)","47","396","8.4","60","7","2","11","9","93","10.3","0","0","7","60.9","8.7","5.8%"
"55","Miles Sanders (DAL)","129","432","3.3","48","1","1","41","27","154","5.7","0","2","16","60.6","3.8","1.6%"
"56","Jerick McKinnon (FA)","21","60","2.9","10","0","1","32","25","192","7.7","4","0","12","59.4","5.0","0.0%"
"57","Zamir White (LV)","104","451","4.3","43","2","1","19","15","98","6.5","0","1","15","58.9","3.9","0.9%"
"58","Joshua Kelley (FA)","107","405","3.8","49","2","2","12","8","32","4.0","0","1","17","53.7","3.2","0.0%"
"59","Clyde Edwards-Helaire (FA)","70","223","3.2","20","1","1","22","17","188","11.1","1","0","15","53.1","3.5","0.6%"
"60","Emari Demercado (ARI)","58","284","4.9","49","1","2","30","21","119","5.7","0","0","14","52.3","3.7","11.4%"
"61","Royce Freeman (FA)","77","319","4.1","23","1","2","2","1","13","13.0","0","0","11","45.2","4.1","0.0%"
"62","Jamaal Williams (FA)","106","306","2.9","17","0","1","20","18","62","3.4","0","0","13","42.8","3.3","2.0%"
"63","Jordan Mason (MIN)","40","206","5.2","26","1","3","4","3","31","10.3","0","0","16","41.7","2.6","66.6%"
"64","Elijah Mitchell (FA)","75","281","3.7","18","0","2","8","6","14","2.3","0","0","11","41.5","3.8","0.8%"
"65","Chase Brown (CIN)","44","179","4.1","31","2","0","15","14","156","11.1","1","0","12","39.5","3.3","98.7%"
"66","Pierre Strong Jr. (GB)","63","291","4.6","40","2","1","8","5","47","9.4","0","1","17","37.8","2.2","0.6%"
"67","Chris Rodriguez Jr. (WAS)","51","247","4.8","16","0","2","2","2","12","6.0","0","1","11","35.9","3.3","39.1%"
"68","Cam Akers (SEA)","60","167","2.8","19","0","2","12","11","70","6.4","0","0","7","35.7","5.1","0.7%"
"69","Michael Carter (ARI)","30","187","6.2","21","1","0","31","24","101","4.2","1","0","15","34.8","2.3","49.7%"
"70","Darrell Henderson Jr. (FA)","46","112","2.4","16","0","2","14","10","103","10.3","0","0","4","33.5","8.4","0.0%"
"71","Kendre Miller (NO)","41","156","3.8","18","0","1","11","10","117","11.7","0","0","8","33.3","4.2","4.0%"
"72","Matt Breida (FA)","55","151","2.7","9","0","1","21","17","88","5.2","0","0","15","29.9","2.0","0.0%"
"73","Cordarrelle Patterson (FA)","50","181","3.6","18","0","0","12","9","38","4.2","1","0","12","27.9","2.3","0.6%"
"74","Jeff Wilson Jr. (FA)","41","188","4.6","15","0","0","17","14","85","6.1","0","0","9","27.3","3.0","1.0%"
"75","Salvon Ahmed (IND)","22","61","2.8","10","0","1","23","16","88","5.5","1","0","8","26.9","3.4","0.0%"
"76","Chase Edmonds (WAS)","49","176","3.6","21","1","0","17","14","81","5.8","0","0","13","25.7","2.0","0.0%"
"77","Ty Johnson (BUF)","30","132","4.4","13","0","0","7","7","62","8.9","1","0","9","25.4","2.8","4.0%"
"78","Tony Jones Jr. (FA)","26","95","3.7","19","0","2","10","7","37","5.3","0","0","6","25.2","4.2","0.0%"
"79","Dalvin Cook (FA)","67","214","3.2","14","0","0","20","15","78","5.2","0","2","14","25.2","1.8","0.6%"
"80","D'Ernest Johnson (NE)","41","108","2.6","19","0","0","12","10","140","14.0","0","0","16","24.8","1.6","1.0%"
"81","Craig Reynolds (NE)","41","179","4.4","19","0","1","5","5","47","9.4","0","2","15","24.6","1.6","0.6%"
"82","Kyle Juszczyk (SF)","5","6","1.2","3","0","0","17","14","119","8.5","2","0","17","24.5","1.4","0.8%"
"83","Darrynton Evans (FA)","32","121","3.8","13","0","1","12","7","49","7.0","0","0","6","23.0","3.8","0.0%"
"84","Ameer Abdullah (IND)","15","89","5.9","12","0","0","24","19","131","6.9","0","0","16","22.0","1.4","0.8%"
"85","Tank Bigsby (PHI)","50","132","2.6","12","0","2","4","1","6","6.0","0","2","16","21.8","1.4","32.7%"
"86","Nick Chubb (HOU)","28","170","6.1","20","1","0","4","4","21","5.3","0","0","2","19.1","9.6","36.1%"
"87","Patrick Taylor Jr. (SF)","32","141","4.4","24","1","0","17","11","49","4.5","0","0","11","19.0","1.7","1.3%"
"88","Kevin Harris (FA)","16","65","4.1","18","0","1","3","3","58","19.3","0","0","4","18.3","4.6","0.0%"
"89","Trey Sermon (FA)","35","160","4.6","27","1","0","6","3","13","4.3","0","0","8","17.3","2.2","1.0%"
"90","Damien Harris (FA)","23","94","4.1","11","0","1","2","2","16","8.0","0","0","7","17.0","2.4","9.0%"
"91","Melvin Gordon III (FA)","26","81","3.1","22","1","1","3","3","46","15.3","0","1","4","16.7","4.2","0.0%"
"92","Ronnie Rivers (LAR)","32","129","4.0","10","0","0","5","5","22","4.4","0","0","9","15.1","1.7","0.6%"
"93","Isaiah Spiller (FA)","37","96","2.6","8","0","0","6","6","34","5.7","0","0","9","13.0","1.4","0.0%"
"94","Tyler Goodson (IND)","13","87","6.7","31","1","0","9","6","34","5.7","0","0","6","12.1","2.0","0.7%"
"95","Alec Ingold (MIA)","2","0","0.0","0","0","0","16","13","119","9.2","0","0","17","11.9","0.7","0.6%"
"96","Boston Scott (FA)","20","86","4.3","18","0","0","6","4","52","13.0","0","1","12","11.8","1.0","0.0%"
"97","Patrick Ricard (BAL)","0","0","0","0","0","0","7","5","52","10.4","1","0","17","11.2","0.7","1.4%"
"98","Raheem Blackshear (FA)","14","46","3.3","9","0","0","7","6","45","7.5","0","0","11","11.1","1.0","1.4%"
"99","Brandon Bolden (FA)","4","31","7.8","26","1","1","0","0","0","0","0","0","5","11.1","2.2","0.0%"
"100","La'Mical Perine (FA)","22","77","3.5","10","0","0","5","3","33","11.0","0","0","2","11.0","5.5","0.0%"
"101","Emanuel Wilson (GB)","14","85","6.1","31","1","0","5","4","23","5.8","0","0","7","10.8","1.5","39.6%"
"102","Chris Brooks (GB)","19","106","5.6","52","2","0","0","0","0","0","0","0","3","10.6","3.5","2.1%"
"103","Keaontay Ingram (KC)","35","74","2.1","14","0","0","4","4","26","6.5","0","0","7","10.0","1.4","0.0%"
"104","Hunter Luepke (DAL)","6","19","3.2","9","0","1","4","3","18","6.0","0","0","17","9.7","0.6","0.7%"
"105","J.K. Dobbins (DEN)","8","22","2.8","4","0","1","3","2","15","7.5","0","0","1","9.7","9.7","52.4%"
"106","Israel Abanikanda (DAL)","22","70","3.2","12","0","0","11","7","43","6.1","0","1","7","9.3","1.3","2.7%"
"107","Nick Bawden (FA)","2","4","2.0","3","0","1","3","3","21","7.0","0","0","6","8.5","1.4","0.0%"
"108","Dare Ogunbowale (HOU)","8","35","4.4","17","0","0","7","2","18","9.0","0","0","10","8.3","0.8","0.8%"
"109","Deuce Vaughn (DEN)","23","40","1.7","13","0","0","7","7","40","5.7","0","0","7","8.0","1.1","1.0%"
"110","Trayveon Williams (CLE)","15","69","4.6","15","0","0","9","7","10","1.4","0","0","16","7.9","0.5","0.1%"
"111","Eric Gray (NYG)","17","48","2.8","12","0","0","7","6","22","3.7","0","0","14","7.0","0.5","1.0%"
"112","Gary Brightwell (CIN)","9","19","2.1","5","0","0","7","5","47","9.4","0","0","4","6.6","1.7","0.0%"
"113","Mike Boone (FA)","5","23","4.6","11","0","0","9","7","40","5.7","0","0","9","6.3","0.7","1.0%"
"114","Damien Williams (FA)","11","43","3.9","9","0","0","2","2","12","6.0","0","0","3","5.5","1.8","0.0%"
"115","Ty Montgomery II (FA)","3","9","3.0","7","0","0","12","5","40","8.0","0","0","11","4.9","0.4","0.0%"
"116","Ke'Shawn Vaughn (FA)","24","42","1.8","9","0","0","5","2","2","1.0","0","0","5","4.4","0.9","0.0%"
"117","Leonard Fournette (FA)","12","40","3.3","9","0","0","0","0","0","0","0","0","2","4.0","2.0","0.1%"
"118","Rashaad Penny (FA)","11","33","3.0","7","0","0","1","1","5","5.0","0","0","3","3.8","1.3","0.0%"
"119","Michael Burton (DEN)","7","9","1.3","4","0","0","3","3","8","2.7","0","0","17","3.7","0.2","0.0%"
"120","Keith Smith (FA)","0","0","0","0","0","0","3","3","33","11.0","0","0","11","3.3","0.3","0.0%"
"121","C.J. Ham (MIN)","1","7","7.0","7","0","0","9","7","25","3.6","0","0","17","3.2","0.2","0.6%"
"122","Sean Tucker (TB)","15","23","1.5","7","0","0","2","2","9","4.5","0","0","5","3.2","0.6","14.7%"
"123","Khari Blasingame (FA)","8","26","3.3","6","0","0","6","3","2","0.7","0","0","8","2.8","0.4","0.0%"
"124","Derrick Gore (FA)","3","26","8.7","23","1","0","0","0","0","0","0","0","3","2.6","0.9","0.0%"
"125","Jake Funk (FA)","2","10","5.0","7","0","0","1","1","12","12.0","0","0","1","2.2","2.2","0.0%"
"126","DeeJay Dallas (JAC)","10","36","3.6","8","0","0","9","6","26","4.3","0","2","17","2.2","0.1","0.0%"
"127","Bam Knight (ARI)","3","13","4.3","8","0","0","1","1","8","8.0","0","0","2","2.1","1.1","25.2%"
"128","Tyrion Davis-Price (FA)","6","21","3.5","15","0","0","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"129","Zach Evans (FA)","9","19","2.1","5","0","0","0","0","0","0","0","0","4","1.9","0.5","1.2%"
"130","Elijah Dotson (FA)","4","6","1.5","2","0","0","2","2","13","6.5","0","0","1","1.9","1.9","0.0%"
"131","Jashaun Corbin (FA)","1","1","1.0","1","0","0","3","3","12","4.0","0","0","3","1.3","0.4","0.0%"
"132","Kene Nwangwu (NYJ)","5","13","2.6","8","0","0","0","0","0","0","0","0","8","1.3","0.2","0.1%"
"133","Alex Armah Jr. (FA)","0","0","0","0","0","0","3","3","13","4.3","0","0","4","1.3","0.3","0.0%"
"134","Devine Ozigbo (FA)","3","5","1.7","4","0","0","1","1","8","8.0","0","0","1","1.3","1.3","1.0%"
"135","Jakob Johnson (FA)","0","0","0","0","0","0","2","1","12","12.0","0","0","8","1.2","0.2","0.0%"
"136","Kenyan Drake (FA)","2","0","0.0","0","0","0","3","2","31","15.5","0","1","2","1.1","0.6","1.1%"
"137","Anthony McFarland Jr. (FA)","0","0","0","0","0","0","2","2","11","5.5","0","0","3","1.1","0.4","1.1%"
"138","Jonathan Ward (FA)","3","11","3.7","8","0","0","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"139","Chris Evans (FA)","2","12","6.0","7","0","0","1","1","-1","-1.0","0","0","3","1.1","0.4","0.0%"
"140","Evan Hull (NO)","1","1","1.0","1","0","0","1","1","6","6.0","0","0","1","0.7","0.7","1.1%"
"141","Adam Prentice (DEN)","2","12","6.0","7","0","0","3","2","12","6.0","0","1","6","0.4","0.1","0.0%"
"142","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","3","3.0","0","0","16","0.3","0.0","0.0%"
"143","Mohamed Ibrahim (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","James Robinson (FA)","1","2","2.0","2","0","0","1","1","-2","-2.0","0","0","1","0.0","0.0","0.0%"
"146","JaMycal Hasty (FA)","0","0","0","0","0","0","2","0","0","0","0","0","1","0.0","0.0","1.1%"
"147","Jordan Mims (FA)","0","0","0","0","0","0","2","0","0","0","0","0","3","0.0","0.0","0.0%"
"148","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"149","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.4%"
"150","Henry Pearson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"151","Scott Matlock (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","4.6%"
"152","SaRodorick Thompson Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"154","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"155","Brittain Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"156","Velus Jones Jr. (SEA)","8","51","6.4","17","0","0","7","4","20","5.0","0","0","13","0.0","0.0","0.0%"
"157","Bryant Koback (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"158","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.9%"
"159","Jason Cabinda (FA)","1","0","0.0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"160","Godwin Igwebuike (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"161","Corey Clement (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"162","Jeremy McNichols (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.1%"
"163","Marlon Mack (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"164","Andrew Beck (NYJ)","5","3","0.6","2","0","1","13","11","55","5.0","2","1","13","0.0","0.0","0.0%"
"165","Travis Homer (CHI)","0","0","0","0","0","0","1","0","0","0","0","0","9","0.0","0.0","0.6%"
"166","Austin Walter (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","Patrick Laird (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"168","Dwayne Washington (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"169","Jonathan Williams (FA)","1","-2","-2.0","0","0","0","1","0","0","0","0","0","1","-0.2","-0.2","0.0%"
"170","Deon Jackson (FA)","14","16","1.1","7","0","0","6","5","14","2.8","0","2","2","-1.0","-0.5","0.0%"
""
""
