"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"58","Darrell Henderson Jr. (FA)","70","283","4.0","23","1","3","22","17","102","6.0","0","0","10","56.5","5.7","0.0%"
"59","Dontrell Hilliard (FA)","22","145","6.6","30","2","0","26","21","177","8.4","4","0","12","56.2","4.7","0.0%"
"60","Deon Jackson (FA)","68","236","3.5","17","0","1","34","30","209","7.0","1","1","12","54.5","4.5","0.0%"
"61","Zack Moss (FA)","93","456","4.9","43","2","1","13","11","39","3.5","0","1","13","53.5","4.1","1.9%"
"62","Nyheim Miller-Hines (FA)","24","33","1.4","9","0","1","37","30","241","8.0","1","0","16","51.4","3.2","0.1%"
"63","Joshua Kelley (FA)","69","287","4.2","22","1","2","25","14","101","7.2","0","0","12","50.8","4.2","0.0%"
"64","JaMycal Hasty (FA)","46","194","4.2","61","1","2","27","21","121","5.8","1","0","14","49.5","3.5","1.1%"
"65","Rashaad Penny (FA)","57","346","6.1","41","5","2","5","4","16","4.0","0","0","5","48.2","9.6","0.0%"
"66","Bam Knight (ARI)","85","300","3.5","48","1","1","14","13","100","7.7","0","0","7","46.0","6.6","25.2%"
"67","Caleb Huntley (FA)","76","366","4.8","30","2","1","2","2","3","1.5","0","0","12","42.9","3.6","0.0%"
"68","Boston Scott (FA)","54","217","4.0","21","1","3","6","5","15","3.0","0","0","15","41.2","2.7","0.0%"
"69","Elijah Mitchell (FA)","45","279","6.2","37","1","2","4","3","7","2.3","0","0","5","40.6","8.1","0.8%"
"70","Matt Breida (FA)","54","220","4.1","18","0","1","25","20","118","5.9","0","0","17","39.8","2.3","0.0%"
"71","Justin Jackson (FA)","42","170","4.0","27","1","1","19","12","101","8.4","1","0","15","39.1","2.6","0.0%"
"72","Kyle Juszczyk (SF)","7","26","3.7","9","0","1","23","19","200","10.5","1","0","13","34.6","2.7","0.8%"
"73","Rex Burkhead (FA)","26","80","3.1","9","0","0","51","37","204","5.5","1","0","15","34.4","2.3","10.0%"
"74","Mark Ingram II (FA)","62","233","3.8","14","0","1","18","16","68","4.3","0","2","10","34.1","3.4","0.6%"
"75","Raheem Blackshear (FA)","23","77","3.3","16","0","3","12","10","93","9.3","0","1","13","33.0","2.5","1.4%"
"76","Jordan Mason (MIN)","43","258","6.0","55","1","1","0","0","0","0","0","0","12","31.8","2.7","66.6%"
"77","Ty Johnson (BUF)","30","160","5.3","32","2","1","24","12","88","7.3","0","0","12","30.8","2.6","4.0%"
"78","Marlon Mack (FA)","16","84","5.3","17","0","1","10","8","99","12.4","1","0","8","30.3","3.8","0.0%"
"79","DeeJay Dallas (JAC)","35","186","5.3","27","1","0","19","17","126","7.4","0","0","15","30.2","2.0","0.0%"
"80","Justice Hill (BAL)","49","262","5.3","34","1","0","12","12","58","4.8","0","1","15","30.0","2.0","8.9%"
"81","Ameer Abdullah (IND)","4","20","5.0","7","0","0","32","25","211","8.4","1","0","16","29.1","1.8","0.8%"
"82","J.D. McKissic (FA)","22","95","4.3","33","1","0","40","27","173","6.4","0","0","9","28.8","3.2","1.0%"
"83","Dare Ogunbowale (HOU)","42","123","2.9","11","0","1","26","20","104","5.2","0","0","15","28.7","1.9","0.8%"
"84","Malik Davis (DAL)","38","161","4.2","23","2","1","7","6","63","10.5","0","0","6","28.4","4.7","2.9%"
"85","Travis Homer (CHI)","19","74","3.9","16","0","0","18","16","157","9.8","1","1","12","27.1","2.3","0.6%"
"86","Javonte Williams (DAL)","47","204","4.3","17","0","0","22","16","76","4.8","0","1","4","26.0","6.5","96.0%"
"87","Gary Brightwell (CIN)","31","141","4.5","25","1","1","8","5","39","7.8","0","0","15","24.0","1.6","0.0%"
"88","Alec Ingold (MIA)","6","8","1.3","2","0","1","23","15","105","7.0","1","0","13","23.3","1.8","0.6%"
"89","Craig Reynolds (NE)","23","102","4.4","21","1","0","10","9","116","12.9","0","0","7","21.8","3.1","0.6%"
"90","Kyren Williams (LAR)","35","139","4.0","17","0","0","12","9","76","8.4","0","0","8","21.5","2.7","99.4%"
"91","C.J. Ham (MIN)","4","7","1.8","3","0","2","12","10","86","8.6","0","0","12","21.3","1.8","0.6%"
"92","Avery Williams (FA)","22","109","5.0","21","1","1","14","13","61","4.7","0","1","17","21.0","1.2","1.1%"
"93","Pierre Strong Jr. (GB)","10","100","10.0","44","1","1","7","7","42","6.0","0","0","10","20.2","2.0","0.6%"
"94","Mike Boone (FA)","24","102","4.3","18","0","0","15","9","96","10.7","0","0","8","19.8","2.5","1.0%"
"95","Jonathan Williams (FA)","37","152","4.1","23","1","0","10","7","40","5.7","0","0","9","19.2","2.1","0.0%"
"96","Tevin Coleman (FA)","12","26","2.2","14","0","1","3","3","44","14.7","1","0","3","19.0","6.3","0.0%"
"97","Brandon Bolden (FA)","17","66","3.9","12","0","0","10","10","62","6.2","1","0","12","18.8","1.6","0.0%"
"98","Malcolm Brown (FA)","18","81","4.5","23","1","1","6","5","37","7.4","0","0","7","17.8","2.5","0.0%"
"99","Darrel Williams (FA)","21","102","4.9","30","1","1","8","4","9","2.3","0","0","5","17.1","3.4","0.0%"
"100","Corey Clement (FA)","15","55","3.7","12","0","1","7","5","54","10.8","0","0","5","16.9","3.4","0.0%"
"101","Benny Snell Jr. (FA)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","16.7","1.9","0.0%"
"102","Sony Michel (FA)","36","106","2.9","12","0","0","13","9","53","5.9","0","0","10","15.9","1.6","0.0%"
"103","Ronald Jones II (FA)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","15.2","3.0","0.0%"
"104","Derek Watt (FA)","9","21","2.3","4","0","1","5","5","11","2.2","1","0","12","15.2","1.3","0.0%"
"105","Hassan Haskins (LAC)","25","93","3.7","12","0","0","12","11","57","5.2","0","0","14","15.0","1.1","1.3%"
"106","Keaontay Ingram (KC)","27","60","2.2","13","0","1","5","4","21","5.3","0","0","11","14.1","1.3","0.0%"
"107","Reggie Gilliam (BUF)","0","0","0","0","0","0","11","9","76","8.4","1","0","11","13.6","1.2","0.0%"
"108","Zander Horvath (FA)","4","8","2.0","3","0","0","8","5","8","1.6","2","0","8","13.6","1.7","1.2%"
"109","Salvon Ahmed (IND)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","13.2","1.9","0.0%"
"110","Royce Freeman (FA)","41","117","2.9","11","0","0","8","6","33","5.5","0","1","5","13.0","2.6","0.0%"
"111","Kevin Harris (FA)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","0.0%"
"112","Snoop Conner (FA)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.0%"
"113","Tyrion Davis-Price (FA)","34","99","2.9","20","1","0","2","0","0","0","0","0","5","9.9","2.0","0.0%"
"114","Chris Evans (FA)","0","0","0","0","0","0","4","3","38","12.7","1","0","10","9.8","1.0","0.0%"
"115","Darrynton Evans (FA)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","9.7","3.2","0.0%"
"116","Kene Nwangwu (NYJ)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","9.5","0.7","0.1%"
"117","Patrick Ricard (BAL)","7","16","2.3","5","0","0","13","11","74","6.7","0","0","13","9.0","0.7","1.4%"
"118","Phillip Lindsay (FA)","15","49","3.3","15","0","0","8","6","19","3.2","0","0","3","8.8","2.9","0.0%"
"119","Jordan Wilkins (FA)","13","58","4.5","9","0","0","8","6","29","4.8","0","0","4","8.7","2.2","0.0%"
"120","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","8.4","8.4","0.9%"
"121","Jaret Patterson (LAC)","17","78","4.6","14","0","0","1","0","0","0","0","0","2","7.8","3.9","0.6%"
"122","Ty Montgomery II (FA)","2","-2","-1.0","0","0","0","4","3","15","5.0","1","0","1","7.3","7.3","0.0%"
"123","Ke'Shawn Vaughn (FA)","17","53","3.1","12","0","0","4","3","19","6.3","0","0","9","7.2","0.8","0.0%"
"124","Zamir White (LV)","17","70","4.1","22","1","0","0","0","0","0","0","0","11","7.0","0.6","0.9%"
"125","Trayveon Williams (CLE)","6","30","5.0","16","0","0","3","2","30","15.0","0","0","9","6.0","0.7","0.1%"
"126","Tony Jones Jr. (FA)","10","24","2.4","7","0","0","8","5","30","6.0","0","0","3","5.4","1.8","0.0%"
"127","Myles Gaskin (FA)","10","26","2.6","10","0","0","6","4","28","7.0","0","0","2","5.4","2.7","0.0%"
"128","Isaiah Spiller (FA)","18","41","2.3","11","0","0","3","3","13","4.3","0","0","5","5.4","1.1","0.0%"
"129","Julius Chestnut (TEN)","9","12","1.3","5","0","0","3","3","41","13.7","0","0","6","5.3","0.9","1.1%"
"130","Spencer Brown (FA)","9","43","4.8","7","0","0","4","2","10","5.0","0","0","2","5.3","2.7","0.0%"
"131","David Johnson (FA)","12","24","2.0","5","0","0","4","4","47","11.8","0","1","4","5.1","1.3","0.0%"
"132","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","5.0","2.5","0.6%"
"133","Patrick Taylor Jr. (SF)","10","31","3.1","6","0","0","1","1","17","17.0","0","0","7","4.8","0.7","1.3%"
"134","Dwayne Washington (FA)","11","38","3.5","8","0","0","1","1","7","7.0","0","0","7","4.5","0.6","0.0%"
"135","Trestan Ebner (FA)","24","54","2.3","11","0","0","8","2","8","4.0","0","1","11","4.2","0.4","0.0%"
"136","Anthony McFarland Jr. (FA)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","4.1","4.1","1.1%"
"137","Larry Rountree III (FA)","13","19","1.5","5","0","0","2","2","14","7.0","0","0","3","3.3","1.1","0.0%"
"138","Jonathan Ward (FA)","5","25","5.0","12","0","0","3","2","7","3.5","0","0","4","3.2","0.8","0.0%"
"139","Giovani Bernard (FA)","8","28","3.5","8","0","0","2","2","-1","-0.5","0","0","4","2.7","0.7","0.0%"
"140","D'Ernest Johnson (NE)","4","17","4.3","7","0","0","3","3","7","2.3","0","0","10","2.4","0.2","1.0%"
"141","Mike Davis (FA)","8","18","2.3","10","0","0","2","2","4","2.0","0","0","5","2.2","0.4","1.0%"
"142","Ty Chandler (MIN)","6","20","3.3","10","0","0","0","0","0","0","0","0","2","2.0","1.0","0.9%"
"143","Trey Sermon (FA)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","1.0%"
"144","Michael Burton (DEN)","5","7","1.4","6","0","0","3","2","11","5.5","0","0","12","1.8","0.2","0.0%"
"145","Adam Prentice (DEN)","4","9","2.3","3","0","0","3","3","9","3.0","0","0","6","1.8","0.3","0.0%"
"146","J.J. Taylor (FA)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","1.7","1.7","1.0%"
"147","Jerome Ford (CLE)","8","12","1.5","9","0","0","0","0","0","0","0","0","13","1.2","0.1","19.2%"
"148","Keith Smith (FA)","1","2","2.0","2","0","0","2","1","8","8.0","0","0","10","1.0","0.1","0.0%"
"149","Jakob Johnson (FA)","0","0","0","0","0","0","6","5","10","2.0","0","0","11","1.0","0.1","0.0%"
"150","Reggie Bonnafon (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"151","Devine Ozigbo (FA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","3","0.7","0.2","1.0%"
"152","Kylin Hill (FA)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"153","Godwin Igwebuike (FA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","5","0.7","0.1","0.0%"
"154","Ty'Son Williams (FA)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","1.2%"
"155","Troy Hairston II (FA)","0","0","0","0","0","0","8","5","19","3.8","0","0","12","0.5","0.0","1.1%"
"156","Demetric Felton Jr. (FA)","1","-4","-4.0","0","0","0","4","2","8","4.0","0","0","6","0.4","0.1","0.0%"
"157","Duke Johnson Jr. (FA)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"158","Damien Williams (FA)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"159","Jordan Howard (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"160","Jermar Jefferson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"161","Sandro Platzgummer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"162","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"163","Rico Dowdle (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","70.9%"
"164","Jake Funk (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Jashaun Corbin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"166","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","Velus Jones Jr. (SEA)","9","103","11.4","42","1","1","14","7","107","15.3","1","3","11","0.0","0.0","0.0%"
"168","Bryant Koback (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"169","John Lovett (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"170","Brittain Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"171","Kenjon Barner (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Jason Cabinda (FA)","1","4","4.0","4","0","0","4","1","5","5.0","0","0","7","0.0","0.0","1.1%"
"173","Trenton Cannon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"174","Khari Blasingame (FA)","0","0","0","0","0","0","1","0","0","0","0","0","5","0.0","0.0","0.0%"
"175","Andrew Beck (NYJ)","2","0","0.0","1","0","0","11","5","69","13.8","0","0","9","0.0","0.0","0.0%"
"176","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"177","La'Mical Perine (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Qadree Ollison (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"179","Brandin Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"180","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"181","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","7","-2.0","-0.3","1.0%"
""
""
