"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Jacobs (GB)","340","1,653","4.9","86","7","12","64","53","400","7.5","0","1","17","275.3","16.2","98.9%"
"2","Christian McCaffrey (SF)","244","1,139","4.7","49","9","8","108","85","741","8.7","5","0","17","271.4","16.0","99.8%"
"3","Derrick Henry (BAL)","349","1,538","4.4","56","10","13","41","33","398","12.1","0","3","16","269.8","16.9","99.7%"
"4","Austin Ekeler (WAS)","204","915","4.5","72","4","13","127","107","722","6.7","5","3","17","265.7","15.6","31.3%"
"5","Nick Chubb (HOU)","302","1,525","5.0","41","13","12","37","27","239","8.9","1","1","17","254.4","15.0","36.1%"
"6","Saquon Barkley (PHI)","295","1,312","4.4","68","9","10","76","57","338","5.9","0","0","16","227.0","14.2","99.8%"
"7","Jamaal Williams (FA)","262","1,066","4.1","58","4","17","16","12","73","6.1","0","2","17","213.9","12.6","2.0%"
"8","Tony Pollard (TEN)","193","1,007","5.2","57","9","9","55","39","371","9.5","3","0","16","209.8","13.1","87.8%"
"9","Dalvin Cook (FA)","264","1,173","4.4","81","5","8","56","39","295","7.6","2","4","17","198.8","11.7","0.6%"
"10","Miles Sanders (DAL)","259","1,269","4.9","40","9","11","26","20","78","3.9","0","2","17","196.7","11.6","1.6%"
"11","Aaron Jones Sr. (MIN)","213","1,121","5.3","36","6","2","72","59","395","6.7","5","3","17","189.6","11.2","88.0%"
"12","Najee Harris (LAC)","272","1,034","3.8","36","1","7","53","41","229","5.6","3","2","17","182.5","10.7","7.2%"
"13","Joe Mixon (HOU)","212","826","3.9","40","4","7","75","60","441","7.4","2","0","15","180.7","12.0","45.7%"
"14","Rhamondre Stevenson (NE)","210","1,040","5.0","49","7","5","88","69","421","6.1","1","1","17","180.1","10.6","78.2%"
"15","Kenneth Walker III (SEA)","228","1,050","4.6","74","10","9","35","27","165","6.1","0","0","15","175.5","11.7","95.8%"
"16","Travis Etienne Jr. (JAC)","220","1,125","5.1","62","8","5","45","35","316","9.0","0","3","17","170.1","10.0","95.3%"
"17","Ezekiel Elliott (FA)","231","876","3.8","27","5","12","23","17","92","5.4","0","0","15","168.8","11.3","0.9%"
"18","Alvin Kamara (NO)","223","897","4.0","27","3","2","77","57","490","8.6","2","4","15","154.7","10.3","86.4%"
"19","James Conner (ARI)","183","782","4.3","23","3","7","58","46","300","6.5","1","1","13","154.2","11.9","45.4%"
"20","Leonard Fournette (FA)","189","668","3.5","23","1","3","83","73","523","7.2","3","0","16","154.1","9.6","0.1%"
"21","David Montgomery (DET)","201","801","4.0","28","2","5","40","34","316","9.3","1","2","16","143.7","9.0","92.3%"
"22","Tyler Allgeier (ATL)","210","1,035","4.9","44","6","3","17","16","139","8.7","1","0","16","143.4","9.0","36.1%"
"23","D'Andre Swift (CHI)","99","542","5.5","50","3","5","70","48","389","8.1","3","0","14","143.1","10.2","94.3%"
"24","Jerick McKinnon (FA)","72","291","4.0","30","2","1","71","56","512","9.1","9","1","17","140.3","8.3","0.0%"
"25","Devin Singletary (NYG)","178","822","4.6","33","5","5","52","38","280","7.4","1","3","17","140.2","8.2","33.0%"
"26","A.J. Dillon (PHI)","186","770","4.1","27","3","7","43","28","206","7.4","0","0","17","139.6","8.2","1.3%"
"27","Raheem Mostert (LV)","181","891","4.9","67","6","3","42","31","202","6.5","2","1","16","137.3","8.6","1.6%"
"28","Jeff Wilson Jr. (FA)","176","860","4.9","41","7","5","37","22","185","8.4","1","2","16","136.5","8.5","1.0%"
"29","Dameon Pierce (KC)","220","939","4.3","75","7","4","39","30","165","5.5","1","2","13","136.4","10.5","3.6%"
"30","Cordarrelle Patterson (FA)","144","695","4.8","40","4","8","31","21","122","5.8","0","1","13","133.7","10.3","0.6%"
"31","Cam Akers (SEA)","188","786","4.2","42","3","7","18","13","117","9.0","0","2","15","128.3","8.6","0.7%"
"32","Latavius Murray (FA)","171","760","4.4","52","5","6","35","27","132","4.9","0","0","14","127.2","9.1","0.0%"
"33","D'Onta Foreman (FA)","203","914","4.5","60","8","5","9","5","26","5.2","0","0","16","126.0","7.9","2.7%"
"34","Isiah Pacheco (KC)","170","830","4.9","31","3","5","14","13","130","10.0","0","2","17","122.0","7.2","71.5%"
"35","Antonio Gibson (NE)","149","546","3.7","20","1","3","58","46","353","7.7","2","0","15","119.9","8.0","1.3%"
"36","Jonathan Taylor (IND)","192","861","4.5","66","5","4","40","28","143","5.1","0","3","12","118.4","9.9","99.6%"
"37","Khalil Herbert (NYJ)","129","731","5.7","63","4","4","12","9","57","6.3","1","0","13","108.8","8.4","1.1%"
"38","Samaje Perine (CIN)","95","394","4.1","29","1","2","51","38","287","7.6","4","0","16","104.1","6.5","4.7%"
"39","Brian Robinson Jr. (SF)","205","797","3.9","24","2","2","12","9","60","6.7","1","0","12","103.7","8.6","44.3%"
"40","Breece Hall (NYJ)","80","463","5.8","62","3","4","31","19","218","11.5","1","1","7","96.1","13.7","96.7%"
"41","Kareem Hunt (KC)","123","468","3.8","24","2","3","44","35","210","6.0","1","0","17","91.8","5.4","49.1%"
"42","Rachaad White (TB)","129","481","3.7","35","2","1","58","50","290","5.8","2","3","17","89.1","5.2","53.1%"
"43","Kenyan Drake (FA)","109","482","4.4","40","5","4","26","17","89","5.2","1","0","12","87.1","7.3","1.1%"
"44","James Cook III (BUF)","91","525","5.8","33","6","2","32","21","180","8.6","1","1","17","86.5","5.1","99.5%"
"45","Michael Carter (ARI)","114","402","3.5","25","3","3","54","41","288","7.0","0","1","16","85.0","5.3","49.7%"
"46","Clyde Edwards-Helaire (FA)","71","302","4.3","52","2","3","23","17","151","8.9","3","0","10","81.3","8.1","0.6%"
"47","James Robinson (FA)","110","425","3.9","50","4","3","14","11","51","4.6","2","0","11","77.6","7.1","0.0%"
"48","J.K. Dobbins (DEN)","92","520","5.7","44","4","2","8","7","42","6.0","1","0","8","74.2","9.3","52.4%"
"49","Damien Harris (FA)","106","462","4.4","30","2","3","23","17","97","5.7","0","0","11","73.9","6.7","9.0%"
"50","Chuba Hubbard (CAR)","95","466","4.9","35","3","2","17","14","171","12.2","0","1","14","73.7","5.3","65.3%"
"51","Alexander Mattison (MIA)","74","283","3.8","15","0","5","18","15","91","6.1","1","0","17","73.4","4.3","0.6%"
"52","Jaylen Warren (PIT)","77","379","4.9","31","3","1","33","28","214","7.6","0","0","16","65.3","4.1","91.8%"
"53","Kenneth Gainwell (PIT)","53","240","4.5","13","0","4","29","23","169","7.3","0","0","17","64.9","3.8","79.5%"
"54","Eno Benjamin (FA)","77","313","4.1","45","1","2","34","25","193","7.7","0","0","13","64.6","5.0","0.0%"
"55","Melvin Gordon III (FA)","90","318","3.5","17","0","2","32","25","223","8.9","0","2","10","62.1","6.2","0.0%"
"56","Gus Edwards (FA)","87","433","5.0","37","3","3","2","0","0","0","0","1","9","59.3","6.6","1.0%"
"57","Chase Edmonds (WAS)","68","245","3.6","28","3","2","24","16","157","9.8","1","0","13","58.2","4.5","0.0%"
