"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"72","Damien Williams (FA)","40","164","4.1","23","1","2","23","16","103","6.4","1","0","12","44.7","3.7","0.0%"
"73","Jeff Wilson Jr. (FA)","79","294","3.7","17","0","2","8","7","31","4.4","0","0","9","44.5","4.9","1.0%"
"74","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","38","30","296","9.9","1","0","15","43.8","2.9","0.8%"
"75","Chris Carson (FA)","54","232","4.3","33","2","3","6","6","29","4.8","0","1","4","42.1","10.5","0.3%"
"76","Phillip Lindsay (FA)","88","249","2.8","35","1","1","5","4","45","11.3","1","0","14","41.4","3.0","0.0%"
"77","Tevin Coleman (FA)","84","356","4.2","20","1","0","16","11","49","4.5","0","0","11","40.5","3.7","0.0%"
"78","Peyton Barber (FA)","55","212","3.9","27","1","2","13","10","67","6.7","0","0","10","39.9","4.0","1.0%"
"79","DeeJay Dallas (JAC)","33","138","4.2","15","0","2","23","21","133","6.3","0","0","17","39.1","2.3","0.0%"
"80","Dare Ogunbowale (HOU)","43","137","3.2","12","0","1","21","13","114","8.8","1","0","13","37.1","2.9","0.8%"
"81","Giovani Bernard (FA)","8","58","7.3","24","1","0","29","23","123","5.3","3","0","10","36.1","3.6","0.0%"
"82","Matt Breida (FA)","26","125","4.8","28","1","1","9","7","72","10.3","2","1","7","35.7","5.1","0.0%"
"83","Chris Evans (FA)","17","77","4.5","13","0","0","17","15","151","10.1","2","0","9","34.8","3.9","0.0%"
"84","Carlos Hyde (FA)","72","253","3.5","18","0","1","22","12","65","5.4","0","2","12","33.8","2.8","0.0%"
"85","Le'Veon Bell (FA)","39","101","2.6","12","0","2","7","5","30","6.0","1","0","8","33.1","4.1","0.2%"
"86","Ty'Son Williams (FA)","35","185","5.3","35","2","1","12","9","84","9.3","0","0","8","32.9","4.1","1.2%"
"87","Ke'Shawn Vaughn (FA)","36","180","5.0","55","1","2","8","4","26","6.5","0","0","6","32.6","5.4","0.0%"
"88","Demetric Felton Jr. (FA)","7","24","3.4","12","0","0","21","18","181","10.1","2","0","15","32.5","2.2","0.0%"
"89","Craig Reynolds (NE)","55","230","4.2","35","2","0","8","7","52","7.4","0","0","5","28.2","5.6","0.6%"
"90","Elijhaa Penny (FA)","24","99","4.1","12","0","1","13","9","30","3.3","1","0","13","26.9","2.1","0.0%"
"91","Salvon Ahmed (IND)","54","149","2.8","16","0","0","19","12","117","9.8","0","0","11","26.6","2.4","0.0%"
"92","JaMycal Hasty (FA)","16","68","4.3","21","1","1","29","23","157","6.8","0","1","11","26.5","2.4","1.1%"
"93","Trey Sermon (FA)","41","167","4.1","16","0","1","4","3","26","8.7","0","0","6","25.3","4.2","1.0%"
"94","Royce Freeman (FA)","56","169","3.0","13","0","0","16","10","77","7.7","0","0","12","24.6","2.1","0.0%"
"95","Jerick McKinnon (FA)","12","62","5.2","18","0","0","20","13","107","8.2","1","0","9","22.9","2.5","0.0%"
"96","Corey Clement (FA)","33","140","4.2","38","1","0","7","6","29","4.8","1","0","11","22.9","2.1","0.0%"
"97","Adrian Peterson (FA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","22.6","5.7","2.0%"
"98","Eno Benjamin (FA)","34","118","3.5","21","1","1","7","6","42","7.0","0","0","8","22.0","2.8","0.0%"
"99","Jermar Jefferson (FA)","15","74","4.9","28","1","2","5","4","23","5.8","0","0","5","21.7","4.3","0.6%"
"100","Malcolm Brown (FA)","33","125","3.8","24","1","1","5","3","10","3.3","0","0","6","19.5","3.3","0.0%"
"101","James White (FA)","10","38","3.8","10","0","1","14","12","94","7.8","0","0","3","19.2","6.4","0.1%"
"102","Kene Nwangwu (NYJ)","13","61","4.7","19","0","0","5","4","9","2.3","0","0","9","19.0","2.1","0.1%"
"103","Tony Jones Jr. (FA)","54","142","2.6","11","0","0","8","5","29","5.8","0","0","10","17.1","1.7","0.0%"
"104","Austin Walter (FA)","26","101","3.9","14","0","1","3","2","9","4.5","0","0","4","17.0","4.3","0.0%"
"105","Jonathan Williams (FA)","17","79","4.6","23","1","1","6","4","28","7.0","0","0","5","16.7","3.3","0.0%"
"106","C.J. Ham (MIN)","7","34","4.9","30","1","0","18","17","125","7.4","0","0","15","15.9","1.1","0.6%"
"107","Qadree Ollison (FA)","21","105","5.0","19","0","1","6","4","12","3.0","0","1","6","15.7","2.6","0.0%"
"108","Patrick Taylor Jr. (SF)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","15.2","3.0","1.3%"
"109","Alec Ingold (MIA)","2","1","0.5","1","0","0","12","10","85","8.5","1","0","7","14.6","2.1","0.6%"
"110","Larry Rountree III (FA)","36","87","2.4","13","0","1","2","1","-1","-1.0","0","0","10","14.6","1.5","0.0%"
"111","J.J. Taylor (FA)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","14.5","2.9","1.0%"
"112","Godwin Igwebuike (FA)","18","118","6.6","42","1","1","10","7","60","8.6","0","2","15","14.0","0.9","0.0%"
"113","Ty Montgomery II (FA)","15","44","2.9","9","0","0","26","16","95","5.9","0","0","14","13.9","1.0","0.0%"
"114","Patrick Ricard (BAL)","2","4","2.0","2","0","0","13","8","63","7.9","1","0","8","12.7","1.6","1.4%"
"115","Wayne Gallman Jr. (FA)","28","104","3.7","17","0","0","3","1","21","21.0","0","0","9","12.5","1.4","0.0%"
"116","Joshua Kelley (FA)","33","102","3.1","14","0","0","6","5","38","7.6","0","1","8","12.0","1.5","0.0%"
"117","Michael Burton (DEN)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","11.7","1.2","0.0%"
"118","Jalen Richard (FA)","9","40","4.4","23","1","0","14","12","72","6.0","0","0","9","11.2","1.2","1.0%"
"119","Benny Snell Jr. (FA)","36","98","2.7","9","0","0","4","2","13","6.5","0","0","16","11.1","0.7","0.0%"
"120","Marlon Mack (FA)","28","101","3.6","22","1","0","5","2","8","4.0","0","0","6","10.9","1.8","0.0%"
"121","Ryquell Armstead (FA)","15","80","5.3","26","1","0","4","3","16","5.3","0","0","2","9.6","4.8","0.2%"
"122","Deon Jackson (FA)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","0.0%"
"123","Andy Janovich (FA)","2","0","0.0","1","0","1","4","3","9","3.0","0","0","6","8.9","1.5","0.0%"
"124","JaQuan Hardy (FA)","4","29","7.3","22","1","1","0","0","0","0","0","0","2","8.9","4.5","0.0%"
"125","Keith Smith (FA)","9","31","3.4","8","0","0","10","9","56","6.2","0","0","13","8.7","0.7","0.0%"
"126","Alex Armah Jr. (FA)","5","21","4.2","9","0","0","1","1","1","1.0","1","0","10","8.2","0.8","0.0%"
"127","Johnny Stanton IV (FA)","3","5","1.7","3","0","0","2","2","7","3.5","1","0","3","7.2","2.4","0.0%"
"128","Jonathan Ward (FA)","9","33","3.7","7","0","0","4","3","34","11.3","0","0","9","6.7","0.7","0.0%"
"129","Ito Smith (FA)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","1.0%"
"130","Mike Boone (FA)","4","35","8.8","16","0","0","2","2","22","11.0","0","0","3","5.7","1.9","1.0%"
"131","Trayveon Williams (CLE)","15","51","3.4","10","0","0","2","1","4","4.0","0","0","4","5.5","1.4","0.1%"
"132","Jason Huntley (FA)","13","51","3.9","18","0","0","1","0","0","0","0","0","1","5.1","5.1","0.0%"
"133","Rodney Smith (FA)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","4.8","4.8","0.0%"
"134","Wendell Smallwood (FA)","5","25","5.0","13","0","0","5","4","22","5.5","0","0","2","4.7","2.4","0.0%"
"135","Kalen Ballage (FA)","12","36","3.0","13","0","0","7","2","8","4.0","0","0","9","4.4","0.5","0.0%"
"136","Jakob Johnson (FA)","0","0","0","0","0","0","5","4","43","10.8","0","0","7","4.3","0.6","0.0%"
"137","La'Mical Perine (FA)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"138","Kylin Hill (FA)","10","24","2.4","8","0","0","2","1","5","5.0","0","0","8","2.9","0.4","0.0%"
"139","Dwayne Washington (FA)","4","16","4.0","5","0","0","2","2","12","6.0","0","0","8","2.8","0.4","0.0%"
"140","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","5","3","23","7.7","0","0","8","2.6","0.3","0.0%"
"141","Gabe Nabers (FA)","3","8","2.7","4","0","0","3","3","17","5.7","0","0","7","2.5","0.4","0.6%"
"142","Jaylen Samuels (FA)","5","9","1.8","3","0","0","4","3","14","4.7","0","0","3","2.3","0.8","0.0%"
"143","Scottie Phillips (FA)","6","13","2.2","4","0","0","3","2","9","4.5","0","0","3","2.2","0.7","0.0%"
"144","Adam Prentice (DEN)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","2.1","0.4","0.0%"
"145","Patrick Laird (FA)","1","4","4.0","4","0","0","3","3","17","5.7","0","0","3","2.1","0.7","0.0%"
"146","Raheem Mostert (LV)","2","20","10.0","11","0","0","0","0","0","0","0","0","1","2.0","2.0","1.6%"
"147","Nick Bawden (FA)","0","0","0","0","0","0","1","1","20","20.0","0","0","1","2.0","2.0","0.0%"
"148","Darrynton Evans (FA)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","1.8","0.9","0.0%"
"149","Reggie Bonnafon (FA)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","1.6","1.6","0.0%"
"150","Derek Watt (FA)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","1.6","0.1","0.0%"
"151","Trey Ragas (FA)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","1.5","1.5","0.0%"
"152","Anthony McFarland Jr. (FA)","3","3","1.0","3","0","0","1","1","11","11.0","0","0","3","1.4","0.5","1.1%"
"153","John Kelly Jr. (FA)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"154","Cam Akers (SEA)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","1.3","0.7","0.7%"
"155","Jacques Patrick (FA)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"156","Mekhi Sargent (FA)","5","11","2.2","3","0","0","1","0","0","0","0","0","5","1.1","0.2","0.0%"
"157","Buddy Howell (FA)","5","11","2.2","4","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"158","Gary Brightwell (CIN)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","7","1.0","0.1","0.0%"
"159","Ryan Nall (FA)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","5","0.8","0.2","0.0%"
"160","Damarea Crockett (FA)","3","7","2.3","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"161","Jake Funk (FA)","2","5","2.5","6","0","0","0","0","0","0","0","0","5","0.5","0.1","0.0%"
"162","Devine Ozigbo (FA)","1","-3","-3.0","0","0","0","1","1","7","7.0","0","0","2","0.4","0.2","1.0%"
"163","Nathan Cottrell (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"164","Pooka Williams Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Kirk Merritt (FA)","0","0","0","0","0","0","3","1","13","13.0","0","0","1","0.0","0.0","0.0%"
"166","Sandro Platzgummer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"167","Josh Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","B.J. Emmons (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","Nick Ralston (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Tory Carter (FA)","0","0","0","0","0","0","1","0","0","0","0","0","5","0.0","0.0","0.0%"
"171","Gerrid Doaks (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"172","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","1.1%"
"173","Spencer Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
"175","Kenjon Barner (FA)","4","0","0.0","1","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"176","Jason Cabinda (FA)","3","23","7.7","21","1","0","7","4","16","4.0","1","0","10","0.0","0.0","1.1%"
"177","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Jordan Wilkins (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"179","Cethan Carter (FA)","0","0","0","0","0","0","2","2","16","8.0","0","0","8","0.0","0.0","0.0%"
"180","Elijah McGuire (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"181","Tarik Cohen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Brian Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"183","LeVante Bellamy (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"184","J.K. Dobbins (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","52.4%"
"185","Sewo Olonilua (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"186","Artavis Pierce (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"187","Darius Bradwell (FA)","0","0","0","0","0","0","1","0","0","0","0","0","2","0.0","0.0","0.0%"
"188","Andrew Beck (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"189","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"190","Sutton Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"191","Darwin Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"192","Brandin Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"193","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"194","Nate McCrary (FA)","1","-1","-1.0","0","0","0","0","0","0","0","0","0","1","-0.1","-0.1","0.0%"
"195","Khari Blasingame (FA)","3","6","2.0","3","0","0","2","2","4","2.0","0","1","5","-1.0","-0.2","0.0%"
"196","Trenton Cannon (FA)","3","4","1.3","3","0","0","0","0","0","0","0","1","10","-1.6","-0.2","0.0%"
""
""
