"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","332","1,811","5.5","83","14","18","51","40","360","9.0","2","2","17","333.1","19.6","99.6%"
"2","Austin Ekeler (WAS)","206","911","4.4","28","3","12","94","70","647","9.2","8","3","16","273.8","17.1","31.3%"
"3","Joe Mixon (HOU)","292","1,205","4.1","32","6","13","48","42","314","7.5","3","1","16","245.9","15.4","45.7%"
"4","Najee Harris (LAC)","307","1,200","3.9","37","6","7","94","74","467","6.3","3","0","17","226.7","13.3","7.2%"
"5","James Conner (ARI)","202","752","3.7","35","3","15","39","37","375","10.1","3","0","15","220.7","14.7","45.4%"
"6","Ezekiel Elliott (FA)","237","1,002","4.2","47","3","10","65","47","287","6.1","2","1","17","205.1","12.1","0.9%"
"7","Nick Chubb (HOU)","228","1,259","5.5","70","12","8","25","20","174","8.7","1","1","14","195.3","14.0","36.1%"
"8","Damien Harris (FA)","202","929","4.6","64","8","15","20","18","132","7.3","0","2","15","192.1","12.8","9.0%"
"9","Alvin Kamara (NO)","240","898","3.7","30","3","4","67","47","439","9.3","5","0","13","187.7","14.4","86.4%"
"10","Antonio Gibson (NE)","258","1,037","4.0","27","4","7","52","42","294","7.0","3","4","16","187.1","11.7","1.3%"
"11","Leonard Fournette (FA)","180","812","4.5","47","5","8","84","69","454","6.6","2","0","14","186.6","13.3","0.1%"
"12","Cordarrelle Patterson (FA)","153","618","4.0","39","2","6","69","52","548","10.5","5","0","16","182.6","11.4","0.6%"
"13","Aaron Jones Sr. (MIN)","171","799","4.7","57","5","4","65","52","391","7.5","6","1","15","177.0","11.8","88.0%"
"14","Derrick Henry (BAL)","219","937","4.3","76","3","10","20","18","154","8.6","0","0","8","175.3","21.9","99.7%"
"15","Dalvin Cook (FA)","249","1,159","4.7","66","9","6","49","34","224","6.6","0","2","13","172.3","13.3","0.6%"
"16","Josh Jacobs (GB)","217","872","4.0","28","2","9","64","54","348","6.4","0","2","15","172.0","11.5","98.9%"
"17","Melvin Gordon III (FA)","203","918","4.5","70","3","8","38","28","213","7.6","2","3","16","167.2","10.5","0.0%"
"18","Javonte Williams (DAL)","203","903","4.4","49","6","4","53","43","316","7.3","3","1","17","161.9","9.5","96.0%"
"19","Devin Singletary (NYG)","188","870","4.6","46","6","7","50","40","228","5.7","1","0","17","157.8","9.3","33.0%"
"20","David Montgomery (DET)","225","849","3.8","41","5","7","51","42","301","7.2","0","1","14","154.0","11.0","92.3%"
"21","A.J. Dillon (PHI)","187","803","4.3","36","2","5","37","34","313","9.2","2","1","17","151.6","8.9","1.3%"
"22","Darrel Williams (FA)","144","558","3.9","21","1","6","57","47","452","9.6","2","0","17","149.0","8.8","0.0%"
"23","D'Andre Swift (CHI)","151","617","4.1","57","3","5","78","62","452","7.3","2","1","13","146.9","11.3","94.3%"
"24","Elijah Mitchell (FA)","207","963","4.7","39","6","5","20","19","137","7.2","1","0","12","146.0","12.2","0.8%"
"25","James Robinson (FA)","164","767","4.7","58","4","8","46","31","222","7.2","0","2","14","142.9","10.2","0.0%"
"26","Darrell Henderson Jr. (FA)","149","688","4.6","29","1","5","40","29","176","6.1","3","0","12","134.4","11.2","0.0%"
"27","Sony Michel (FA)","208","845","4.1","39","2","4","33","21","128","6.1","1","1","17","125.3","7.4","0.0%"
"28","Myles Gaskin (FA)","173","612","3.5","30","2","3","63","49","234","4.8","4","1","17","124.6","7.3","0.0%"
"29","Tony Pollard (TEN)","130","719","5.5","58","4","2","46","39","337","8.6","0","0","15","123.6","8.2","87.8%"
"30","Michael Carter (ARI)","147","639","4.3","55","3","4","55","36","325","9.0","0","1","14","118.4","8.5","49.7%"
"31","Rashaad Penny (FA)","119","749","6.3","62","11","6","8","6","48","8.0","0","0","10","115.7","11.6","0.0%"
"32","Chuba Hubbard (CAR)","172","612","3.6","26","3","5","37","25","174","7.0","1","1","16","112.6","7.0","65.3%"
"33","Devonta Freeman (FA)","133","576","4.3","32","4","5","42","34","190","5.6","1","0","16","112.6","7.0","0.0%"
"34","Saquon Barkley (PHI)","162","593","3.7","41","3","2","57","41","263","6.4","2","1","14","107.6","7.7","99.8%"
"35","Devontae Booker (FA)","145","593","4.1","31","3","2","45","40","268","6.7","1","0","16","104.1","6.5","0.0%"
"36","Rhamondre Stevenson (NE)","133","606","4.6","21","1","5","18","14","123","8.8","0","1","12","100.9","8.4","78.2%"
"37","Chase Edmonds (WAS)","116","592","5.1","54","3","2","53","43","311","7.2","0","1","12","100.3","8.4","0.0%"
"38","Clyde Edwards-Helaire (FA)","119","517","4.3","17","0","4","23","19","118","6.2","2","2","10","97.5","9.8","0.6%"
"39","Mike Davis (FA)","138","503","3.6","18","0","3","58","44","259","5.9","1","3","17","94.2","5.5","1.0%"
"40","Alexander Mattison (MIA)","134","491","3.7","48","2","3","39","32","228","7.1","1","1","16","93.9","5.9","0.6%"
"41","Jamaal Williams (FA)","153","601","3.9","20","1","3","28","26","157","6.0","0","0","13","93.8","7.2","2.0%"
"42","Latavius Murray (FA)","119","501","4.2","46","3","6","13","10","75","7.5","0","0","14","93.6","6.7","0.0%"
"43","Miles Sanders (DAL)","137","754","5.5","38","7","0","34","26","158","6.1","0","1","12","91.2","7.6","1.6%"
"44","Christian McCaffrey (SF)","99","442","4.5","18","0","1","41","37","343","9.3","1","0","7","90.5","12.9","99.8%"
"45","Kenneth Gainwell (PIT)","68","291","4.3","18","0","5","50","33","253","7.7","1","1","16","90.4","5.7","79.5%"
"46","Kareem Hunt (KC)","78","386","4.9","33","2","5","27","22","174","7.9","0","0","8","88.0","11.0","49.1%"
"47","Boston Scott (FA)","87","373","4.3","23","2","7","16","13","83","6.4","0","1","11","85.6","7.8","0.0%"
"48","D'Ernest Johnson (NE)","100","534","5.3","30","4","3","25","19","137","7.2","0","0","13","85.1","6.5","1.0%"
"49","D'Onta Foreman (FA)","133","566","4.3","35","4","3","11","9","123","13.7","0","1","9","84.9","9.4","2.7%"
"50","J.D. McKissic (FA)","48","212","4.4","15","0","2","53","43","397","9.2","2","0","11","84.9","7.7","1.0%"
"51","Brandon Bolden (FA)","44","226","5.1","24","2","1","49","41","405","9.9","2","0","16","83.1","5.2","0.0%"
"52","Ty Johnson (BUF)","61","238","3.9","24","2","2","55","34","372","10.9","2","1","15","83.0","5.5","4.0%"
"53","Zack Moss (FA)","96","345","3.6","17","0","4","32","23","197","8.6","1","1","13","82.2","6.3","1.9%"
"54","Mark Ingram II (FA)","160","554","3.5","28","2","2","35","27","162","6.0","0","1","14","81.6","5.8","0.6%"
"55","Rex Burkhead (FA)","122","427","3.5","36","2","3","32","25","186","7.4","0","0","15","79.3","5.3","10.0%"
"56","Nyheim Miller-Hines (FA)","56","276","4.9","34","2","2","57","40","310","7.8","1","2","17","72.6","4.3","0.1%"
"57","Kenyan Drake (FA)","63","254","4.0","21","1","2","40","30","291","9.7","1","0","12","72.5","6.0","1.1%"
"58","Ronald Jones II (FA)","101","428","4.2","30","1","4","13","10","64","6.4","0","2","15","69.2","4.6","0.0%"
"59","Khalil Herbert (NYJ)","103","433","4.2","29","4","2","16","14","96","6.9","0","0","16","64.9","4.1","1.1%"
"60","Justin Jackson (FA)","68","364","5.4","75","2","2","25","22","178","8.1","0","1","14","64.2","4.6","0.0%"
"61","Jordan Howard (FA)","86","406","4.7","25","1","3","5","2","19","9.5","0","0","7","60.5","8.6","0.0%"
"62","Alex Collins (FA)","108","411","3.8","25","2","2","10","9","87","9.7","0","1","11","59.8","5.4","19.0%"
"63","Samaje Perine (CIN)","55","246","4.5","46","2","1","31","27","196","7.3","1","0","15","56.2","3.7","4.7%"
"64","Duke Johnson Jr. (FA)","71","330","4.6","27","1","3","5","4","41","10.3","0","0","5","55.1","11.0","0.0%"
"65","Dontrell Hilliard (FA)","56","350","6.3","68","2","2","26","19","87","4.6","0","1","8","53.7","6.7","0.0%"
"66","Ameer Abdullah (IND)","51","166","3.3","15","0","0","53","38","289","7.6","1","0","17","51.5","3.0","0.8%"
"67","David Johnson (FA)","67","228","3.4","15","0","0","42","32","225","7.0","1","1","13","49.3","3.8","0.0%"
"68","Derrick Gore (FA)","51","256","5.0","51","2","2","9","8","105","13.1","0","0","8","48.1","6.0","0.0%"
"69","Jaret Patterson (LAC)","68","266","3.9","13","0","2","12","10","73","7.3","0","0","14","45.9","3.3","0.6%"
"70","Travis Homer (CHI)","21","177","8.4","73","2","1","20","16","161","10.1","0","0","14","45.8","3.3","0.6%"
"71","Jeremy McNichols (WAS)","41","156","3.8","14","0","0","38","28","240","8.6","1","0","13","45.6","3.5","2.1%"
