"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","345","2,005","5.8","72","17","13","43","33","278","8.4","2","1","16","322.3","20.1","99.8%"
"2","Derrick Henry (BAL)","325","1,921","5.9","87","19","16","22","19","193","10.2","2","1","17","317.4","18.7","99.7%"
"3","Jahmyr Gibbs (DET)","250","1,412","5.6","70","13","16","63","52","517","9.9","4","1","17","310.9","18.3","99.9%"
"4","Bijan Robinson (ATL)","304","1,456","4.8","37","5","14","72","61","431","7.1","1","0","17","280.7","16.5","99.8%"
"5","Josh Jacobs (GB)","301","1,329","4.4","38","7","15","43","36","342","9.5","1","3","17","257.1","15.1","98.9%"
"6","Kyren Williams (LAR)","316","1,299","4.1","30","2","14","40","34","182","5.4","2","3","16","238.1","14.9","99.4%"
"7","James Cook III (BUF)","207","1,009","4.9","65","6","16","38","32","258","8.1","2","0","16","234.7","14.7","99.5%"
"8","Jonathan Taylor (IND)","303","1,431","4.7","70","11","11","31","18","136","7.6","1","1","14","226.7","16.2","99.6%"
"9","De'Von Achane (MIA)","203","907","4.5","61","5","6","87","78","592","7.6","6","0","17","221.9","13.1","99.7%"
"10","James Conner (ARI)","236","1,094","4.6","53","6","8","55","47","414","8.8","1","1","16","206.8","12.9","45.4%"
"11","Joe Mixon (HOU)","245","1,016","4.1","59","8","11","52","36","309","8.6","1","0","14","204.5","14.6","45.7%"
"12","Chase Brown (CIN)","229","990","4.3","40","8","7","65","54","360","6.7","4","1","16","201.0","12.6","98.7%"
"13","Chuba Hubbard (CAR)","250","1,195","4.8","38","8","10","54","43","171","4.0","1","3","15","198.6","13.2","65.3%"
"14","Bucky Irving (TB)","207","1,122","5.4","56","8","8","52","47","392","8.3","0","1","17","197.4","11.6","98.2%"
"15","Alvin Kamara (NO)","228","950","4.2","24","3","6","89","68","543","8.0","2","0","14","197.3","14.1","86.4%"
"16","Aaron Jones Sr. (MIN)","255","1,138","4.5","41","3","5","62","51","408","8.0","2","3","17","190.6","11.2","88.0%"
"17","David Montgomery (DET)","185","775","4.2","21","1","12","38","36","341","9.5","0","1","14","185.7","13.3","92.3%"
"18","Breece Hall (NYJ)","209","876","4.2","42","3","5","76","57","483","8.5","3","2","16","183.9","11.5","96.7%"
"19","D'Andre Swift (CHI)","253","959","3.8","56","5","6","52","42","386","9.2","0","0","17","172.5","10.1","94.3%"
"20","Najee Harris (LAC)","263","1,043","4.0","36","9","6","48","36","283","7.9","0","0","17","168.6","9.9","7.2%"
"21","J.K. Dobbins (DEN)","195","905","4.6","61","6","9","38","32","153","4.8","0","0","13","159.8","12.3","52.4%"
"22","Tony Pollard (TEN)","260","1,079","4.2","41","6","5","57","41","238","5.8","0","2","16","159.7","10.0","87.8%"
"23","Rico Dowdle (CAR)","235","1,079","4.6","27","2","2","49","39","249","6.4","3","2","16","158.8","9.9","70.9%"
"24","Rachaad White (TB)","144","613","4.3","56","2","3","57","51","393","7.7","6","3","16","148.6","9.3","53.1%"
"25","Zach Charbonnet (SEA)","135","569","4.2","51","3","8","52","42","340","8.1","1","0","17","144.9","8.5","75.6%"
"26","Tyrone Tracy Jr. (NYG)","192","839","4.4","45","6","5","53","38","284","7.5","1","2","17","144.3","8.5","85.8%"
"27","Rhamondre Stevenson (NE)","207","801","3.9","33","2","7","41","33","168","5.1","1","3","15","142.9","9.5","78.2%"
"28","Brian Robinson Jr. (SF)","187","799","4.3","40","4","8","25","20","159","8.0","0","2","14","139.8","10.0","44.3%"
"29","Kenneth Walker III (SEA)","153","573","3.7","28","5","7","53","46","299","6.5","1","0","11","135.2","12.3","95.8%"
"30","Kareem Hunt (KC)","200","728","3.6","20","1","7","32","23","176","7.7","0","0","13","132.4","10.2","49.1%"
"31","Tank Bigsby (PHI)","168","766","4.6","65","4","7","12","7","54","7.7","0","1","16","122.0","7.6","32.7%"
"32","Javonte Williams (DAL)","139","513","3.7","20","1","4","70","52","346","6.7","0","2","17","105.9","6.2","96.0%"
"33","Jordan Mason (MIN)","153","789","5.2","38","9","3","14","11","91","8.3","0","1","12","104.0","8.7","66.6%"
"34","Alexander Mattison (MIA)","132","420","3.2","24","1","4","48","36","294","8.2","1","1","14","101.4","7.2","0.6%"
"35","Ray Davis (BUF)","113","442","3.9","23","2","3","19","17","189","11.1","3","0","17","99.1","5.8","6.8%"
"36","Austin Ekeler (WAS)","77","367","4.8","50","4","4","41","35","366","10.5","0","0","12","97.3","8.1","31.3%"
"37","Jerome Ford (CLE)","104","565","5.4","66","5","3","43","37","225","6.1","0","0","14","97.0","6.9","19.2%"
"38","Tyler Allgeier (ATL)","137","644","4.7","25","4","3","13","13","88","6.8","0","0","17","93.2","5.5","36.1%"
"39","Travis Etienne Jr. (JAC)","150","558","3.7","22","2","2","52","39","254","6.5","0","1","15","91.2","6.1","95.3%"
"40","Jaylen Warren (PIT)","120","511","4.3","22","1","1","47","38","310","8.2","0","1","15","86.1","5.7","91.8%"
"41","Ameer Abdullah (IND)","66","311","4.7","40","1","2","47","40","261","6.5","3","1","15","85.2","5.7","0.8%"
"42","Justice Hill (BAL)","47","228","4.9","51","2","1","51","42","383","9.1","3","0","15","85.1","5.7","8.9%"
"43","Emanuel Wilson (GB)","103","502","4.9","21","1","4","14","11","48","4.4","1","0","17","85.0","5.0","39.6%"
"44","Tyjae Spears (TEN)","84","312","3.7","23","1","4","35","30","224","7.5","1","0","12","83.6","7.0","39.4%"
"45","Antonio Gibson (NE)","120","538","4.5","45","4","1","29","23","206","9.0","0","0","17","80.4","4.7","1.3%"
"46","Isaac Guerendo (SF)","84","420","5.0","76","2","4","16","15","152","10.1","0","1","16","79.2","5.0","2.8%"
"47","Cam Akers (SEA)","104","444","4.3","58","2","2","18","14","68","4.9","3","1","16","79.2","5.0","0.7%"
"48","Devin Singletary (NYG)","113","437","3.9","43","2","4","24","21","119","5.7","0","2","16","75.6","4.7","33.0%"
"49","Ty Johnson (BUF)","41","213","5.2","19","0","1","25","18","284","15.8","3","0","17","73.7","4.3","4.0%"
"50","Jaleel McLaughlin (DEN)","113","496","4.4","21","1","1","27","24","76","3.2","2","1","16","73.2","4.6","1.9%"
"51","Braelon Allen (NYJ)","92","334","3.6","20","1","2","27","19","148","7.8","1","0","17","66.2","3.9","10.9%"
"52","Roschon Johnson (CHI)","55","150","2.7","9","0","6","20","16","104","6.5","0","0","13","61.4","4.7","1.8%"
"53","Gus Edwards (FA)","101","365","3.6","43","1","4","5","3","6","2.0","0","0","11","61.1","5.6","1.0%"
"54","Sean Tucker (TB)","50","308","6.2","36","2","2","12","9","109","12.1","1","0","17","59.7","3.5","14.7%"
"55","Zack Moss (FA)","74","242","3.3","16","0","2","27","23","187","8.1","1","1","9","58.9","6.5","1.9%"
"56","Nick Chubb (HOU)","102","332","3.3","19","0","3","11","5","31","6.2","1","1","8","58.3","7.3","36.1%"
"57","Jeremy McNichols (WAS)","55","261","4.7","28","2","4","12","9","27","3.0","0","0","17","54.8","3.2","2.1%"
"58","Samaje Perine (CIN)","20","92","4.6","13","0","1","35","28","322","11.5","1","0","17","53.4","3.1","4.7%"
"59","Miles Sanders (DAL)","55","205","3.7","26","1","2","30","24","148","6.2","1","0","11","53.3","4.8","1.6%"
"60","Raheem Mostert (LV)","85","278","3.3","21","1","2","23","19","161","8.5","0","2","13","51.9","4.0","1.6%"
"61","Kenneth Gainwell (PIT)","75","290","3.9","20","1","1","22","16","116","7.3","0","0","17","46.6","2.7","79.5%"
"62","Ezekiel Elliott (FA)","74","226","3.1","11","0","3","15","12","69","5.8","0","1","15","45.5","3.0","0.9%"
"63","Isiah Pacheco (KC)","83","310","3.7","34","1","1","16","12","79","6.6","0","0","7","44.9","6.4","71.5%"
"64","Audric Estime (NO)","76","310","4.1","21","1","2","5","5","27","5.4","0","1","13","43.7","3.4","19.8%"
"65","Dameon Pierce (KC)","40","293","7.3","92","2","2","4","2","2","1.0","0","0","11","41.5","3.8","3.6%"
"66","Trey Benson (ARI)","63","291","4.6","20","1","1","6","6","59","9.8","0","0","13","41.0","3.2","39.6%"
"67","Emari Demercado (ARI)","24","223","9.3","53","2","1","20","16","104","6.5","0","0","13","38.7","3.0","11.4%"
"68","Kyle Juszczyk (SF)","5","26","5.2","14","0","1","31","19","200","10.5","2","1","17","38.6","2.3","0.8%"
"69","Trey Sermon (FA)","56","159","2.8","17","0","2","19","16","99","6.2","0","0","15","37.8","2.5","1.0%"
"70","Dare Ogunbowale (HOU)","30","112","3.7","35","1","0","28","19","198","10.4","1","0","17","37.0","2.2","0.8%"
"71","Isaiah Davis (NYJ)","30","174","5.8","20","1","1","12","9","75","8.3","1","0","14","36.9","2.6","5.4%"
"72","Tyler Goodson (IND)","32","153","4.8","33","1","1","15","11","61","5.5","1","0","16","33.4","2.1","0.7%"
"73","Christian McCaffrey (SF)","50","202","4.0","19","0","0","19","15","146","9.7","0","1","4","32.8","8.2","99.8%"
"74","Chris Brooks (GB)","36","183","5.1","23","1","1","13","11","69","6.3","0","0","13","31.2","2.4","2.1%"
"75","Chris Rodriguez Jr. (WAS)","35","173","4.9","25","1","2","1","1","12","12.0","0","0","8","30.5","3.8","39.1%"
"76","Hassan Haskins (LAC)","34","89","2.6","12","0","2","3","3","49","16.3","1","1","15","29.8","2.0","1.3%"
"77","Jamaal Williams (FA)","48","164","3.4","14","0","1","11","9","57","6.3","0","0","14","28.1","2.0","2.0%"
"78","Kimani Vidal (LAC)","43","155","3.6","19","0","0","9","5","62","12.4","1","0","10","27.7","2.8","56.1%"
"79","Patrick Taylor Jr. (SF)","39","183","4.7","29","1","1","11","3","25","8.3","0","0","9","26.8","3.0","1.3%"
"80","D'Onta Foreman (FA)","71","232","3.3","25","1","0","8","6","54","9.0","0","1","10","26.6","2.7","2.7%"
"81","Blake Corum (LAR)","58","207","3.6","12","0","0","8","7","58","8.3","0","0","15","26.5","1.8","48.4%"
"82","Cordarrelle Patterson (FA)","32","135","4.2","14","0","0","14","12","80","6.7","1","1","13","25.5","2.0","0.6%"
"83","Michael Carter (ARI)","35","131","3.7","13","0","1","11","11","57","5.2","0","0","4","24.8","6.2","49.7%"
"84","Kendre Miller (NO)","39","148","3.8","17","0","1","8","5","33","6.6","0","0","7","24.1","3.4","4.0%"
"85","D'Ernest Johnson (NE)","32","143","4.5","22","1","0","19","12","96","8.0","0","0","12","23.9","2.0","1.0%"
"86","Jaylen Wright (MIA)","68","249","3.7","20","1","0","6","3","8","2.7","0","1","15","23.7","1.6","14.0%"
"87","Zamir White (LV)","65","183","2.8","17","0","1","8","6","30","5.0","0","2","8","23.3","2.9","0.9%"
"88","Ty Chandler (MIN)","56","182","3.3","25","1","0","6","6","42","7.0","0","0","15","22.4","1.5","0.9%"
"89","Khalil Herbert (NYJ)","36","130","3.6","14","0","1","11","10","25","2.5","0","0","12","21.5","1.8","1.1%"
"90","Pierre Strong Jr. (GB)","26","108","4.2","19","0","0","22","14","104","7.4","0","0","13","21.2","1.6","0.6%"
"91","Sincere McCormick (FA)","39","183","4.7","29","1","0","7","6","29","4.8","0","0","4","21.2","5.3","0.6%"
