"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"92","Kenny McIntosh (SEA)","31","172","5.5","25","1","0","4","3","22","7.3","0","0","12","19.4","1.6","1.0%"
"93","Michael Burton (DEN)","7","8","1.1","3","0","1","10","10","65","6.5","1","0","17","19.3","1.1","0.0%"
"94","JaMycal Hasty (FA)","20","69","3.5","15","0","0","12","10","59","5.9","1","0","12","18.8","1.6","1.1%"
"95","DeeJay Dallas (JAC)","9","49","5.4","22","1","0","3","3","11","3.7","1","0","16","18.0","1.1","0.0%"
"96","Craig Reynolds (NE)","31","139","4.5","19","0","0","5","3","40","13.3","0","0","14","17.9","1.3","0.6%"
"97","Carson Steele (PHI)","56","183","3.3","9","0","0","11","7","26","3.7","0","2","16","16.9","1.1","1.1%"
"98","Alec Ingold (MIA)","10","17","1.7","6","0","1","12","11","96","8.7","0","1","15","15.3","1.0","0.6%"
"99","Hunter Luepke (DAL)","12","38","3.2","10","0","0","16","12","111","9.3","0","0","16","14.9","0.9","0.7%"
"100","Patrick Ricard (BAL)","0","0","0","0","0","0","5","3","22","7.3","1","0","17","14.2","0.8","1.4%"
"101","Jordan Mims (FA)","20","70","3.5","9","0","0","18","12","71","5.9","0","0","8","14.1","1.8","0.0%"
"102","Ronnie Rivers (LAR)","22","99","4.5","12","0","0","6","5","34","6.8","0","0","7","13.3","1.9","0.6%"
"103","Will Shipley (PHI)","30","82","2.7","9","0","0","4","4","35","8.8","0","0","13","11.7","0.9","3.0%"
"104","Tony Jones Jr. (FA)","4","55","13.8","46","1","1","0","0","0","0","0","0","1","11.5","11.5","0.0%"
"105","Julius Chestnut (TEN)","22","102","4.6","12","0","0","3","2","11","5.5","0","0","14","11.3","0.8","1.1%"
"106","Deuce Vaughn (DEN)","17","70","4.1","12","0","0","5","3","18","6.0","0","0","6","8.8","1.5","1.0%"
"107","C.J. Ham (MIN)","2","10","5.0","8","0","1","6","5","35","7.0","0","1","17","8.5","0.5","0.6%"
"108","Raheem Blackshear (FA)","15","80","5.3","26","1","0","0","0","0","0","0","0","16","8.0","0.5","1.4%"
"109","Jeff Wilson Jr. (FA)","16","57","3.6","14","0","0","3","3","19","6.3","0","0","7","7.6","1.1","1.0%"
"110","Eric Gray (NYG)","14","31","2.2","6","0","0","11","10","82","8.2","0","2","16","7.3","0.5","1.0%"
"111","Clyde Edwards-Helaire (FA)","13","46","3.5","12","0","0","5","3","24","8.0","0","0","2","7.0","3.5","0.6%"
"112","Tyler Badie (DEN)","11","86","7.8","43","1","0","3","3","-2","-0.7","0","1","3","6.4","2.1","0.9%"
"113","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","2","6.0","3.0","0.1%"
"114","Keaton Mitchell (BAL)","15","30","2.0","7","0","0","1","1","28","28.0","0","0","4","5.8","1.5","5.8%"
"115","Sione Vaki (DET)","6","14","2.3","7","0","0","3","3","37","12.3","0","0","12","5.1","0.4","1.1%"
"116","Mike Boone (FA)","13","51","3.9","9","0","0","3","1","-2","-2.0","0","0","5","4.9","1.0","1.0%"
"117","Jonathon Brooks (CAR)","9","22","2.4","9","0","0","3","3","23","7.7","0","0","3","4.5","1.5","0.7%"
"118","J.J. Taylor (FA)","10","44","4.4","9","0","0","3","2","0","0.0","0","0","4","4.4","1.1","1.0%"
"119","Jacob Kibodi (FA)","5","24","4.8","17","0","0","3","1","15","15.0","0","0","1","3.9","3.9","0.0%"
"120","Travis Homer (CHI)","6","23","3.8","6","0","0","3","3","11","3.7","0","0","9","3.4","0.4","0.6%"
"121","Terrell Jennings (NE)","13","33","2.5","7","0","0","1","0","0","0","0","0","2","3.3","1.7","1.9%"
"122","Jermar Jefferson (FA)","6","22","3.7","8","0","0","1","1","10","10.0","0","0","2","3.2","1.6","0.6%"
"123","Jase McClellan (FA)","13","32","2.5","8","0","0","0","0","0","0","0","0","3","3.2","1.1","1.0%"
"124","Rasheen Ali (BAL)","10","31","3.1","9","0","0","2","0","0","0","0","0","5","3.1","0.6","0.6%"
"125","Dalvin Cook (FA)","8","20","2.5","4","0","0","1","1","10","10.0","0","0","2","3.0","1.5","0.6%"
"126","Blake Watson (TEN)","4","10","2.5","7","0","0","2","1","13","13.0","0","0","3","2.3","0.8","1.1%"
"127","Jonathan Ward (FA)","5","22","4.4","7","0","0","0","0","0","0","0","0","4","2.2","0.6","0.0%"
"128","MarShawn Lloyd (GB)","6","15","2.5","5","0","0","1","1","3","3.0","0","0","1","1.8","1.8","1.7%"
"129","Aaron Shampklin (FA)","6","17","2.8","5","0","0","0","0","0","0","0","0","3","1.7","0.6","1.1%"
"130","Tyreik McAllister (FA)","2","11","5.5","10","0","0","0","0","0","0","0","0","2","1.1","0.6","1.0%"
"131","Myles Gaskin (FA)","3","-1","-0.3","2","0","0","1","1","11","11.0","0","0","4","1.0","0.3","0.0%"
"132","Cody Schrader (DEN)","1","3","3.0","3","0","0","1","1","6","6.0","0","0","1","0.9","0.9","1.0%"
"133","George Holani (SEA)","3","10","3.3","8","0","0","1","1","-1","-1.0","0","0","3","0.9","0.3","0.1%"
"134","Chris Collier (LV)","5","12","2.4","4","0","0","2","1","-4","-4.0","0","0","6","0.8","0.1","0.0%"
"135","Tyrion Davis-Price (FA)","3","7","2.3","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"136","Reggie Gilliam (BUF)","3","7","2.3","4","0","0","0","0","0","0","0","0","14","0.7","0.1","0.0%"
"137","Ke'Shawn Vaughn (FA)","2","4","2.0","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"138","Darrynton Evans (FA)","3","3","1.0","4","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"139","Joshua Kelley (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"140","British Brooks (HOU)","1","2","2.0","2","0","0","0","0","0","0","0","0","3","0.2","0.1","0.0%"
"141","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Kendall Milton (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"143","D.J. Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"145","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"146","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"147","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"148","Ben VanSumeren (PHI)","0","0","0","0","0","0","1","1","0","0.0","0","0","7","0.0","0.0","1.4%"
"149","Adam Prentice (DEN)","0","0","0","0","0","0","4","0","0","0","0","0","9","0.0","0.0","0.0%"
"150","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"151","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","1.1%"
"152","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Kazmeir Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"154","Scott Matlock (LAC)","0","0","0","0","0","0","5","4","28","7.0","0","0","17","0.0","0.0","4.6%"
"155","Jabari Small (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"156","Velus Jones Jr. (SEA)","3","11","3.7","6","0","0","1","1","8","8.0","0","1","2","0.0","0.0","0.0%"
"157","Troy Hairston II (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"158","Nyheim Miller-Hines (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"159","John Kelly Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Jakob Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Trayveon Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"162","Andrew Beck (NYJ)","0","0","0","0","0","0","2","0","0","0","0","0","2","0.0","0.0","0.0%"
"163","La'Mical Perine (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Khari Blasingame (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","Dylan Laube (LV)","1","0","0.0","0","0","0","0","0","0","0","0","1","6","-2.0","-0.3","0.6%"
""
""
